"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"15008000",0.201777648554979,8.35068493150685,2010-01-01,2018-05-06,0,"USGS","SALMON R NR HYDER AK","ST",560134,1300355,56.025815,-130.0669823,"M","R","NAD27","NAD83","02","02","198","US","NWSESWS26 T067S R099E C","BRADFIELD CANAL A-1","  63360",295,"M",50,"NGVD29","19010106",NA,"C","YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,107,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15009000",0.155231960261387,7.2,2010-01-01,2017-08-28,0.0604218805863425,"USGS","SOULE R NR HYDER AK","ST",555000,1301054,55.83302857,-130.1833693,"M","S","NAD27","NAD83","02","02","198","US","SENENES02 T070S R099E C","KETCHIKAN D-1","  63360",450,"M",50,"NGVD29","19010106",NA,NA,"YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN",NA,NA,77.3,NA,"AKST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"15024800",0.0835570165984826,9.93698630136986,2010-01-01,2019-12-06,0,"USGS","STIKINE R NR WRANGELL AK","ST",564229,1320749,56.70772188,-132.1319653,"M","T","NAD27","NAD83","02","02","275","US","  SESES35 T059S R084E C","PETERSBURG C-1","  63360",25,"M",25,"NGVD29","19010207",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,19630,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15041200",0.0985791218374448,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TAKU R NR JUNEAU AK","ST",583219,1334200,58.53829828,-133.7017432,"M","T","NAD27","NAD83","02","02","110","US","  NENWS33 T038S R071E C","TAKU RIVER C-6","  63360",50,"M",25,"NGVD29","19010304",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,6500,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15051010",0.298537743547497,6.75890410958904,2010-01-01,2016-10-02,0,"USGS","SALMON C NR JUNEAU AK","ST",581957,1342757,58.33217378,-134.4676074,"M","S","NAD27","NAD83","02","02","110","US","NESENWS09 T041S R067E C","JUNEAU B-2SE","  25000",50,"M",50,"NGVD29","19010301",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,9.7,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15052000",0.313387385490981,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","LEMON C NR JUNEAU AK","ST",582330,1342515,58.3913429,-134.4226062,"M","F","NAD27","NAD83","02","02","110","US","  NWNWS19 T040S R067E C","JUNEAU B-2","  63360",669.1,"F",0.1,"NAVD88","19010301",NA,NA,"YNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,12.3,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15052500",0.192897357686599,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","MENDENHALL R NR AUKE BAY AK","ST",582547,1343422,58.4293972,-134.5745592,"M","S","NAD27","NAD83","02","02","110","US","  NWSES06 T040S R066E C","JUNEAU B-2NW","  25000",60,"M",16,"NGVD29","19010301",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,84.8,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15055500",0.122221010360576,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","ANTLER R BL ANTLER LK NR AUKE BAY AK","ST",585107,1344231,58.85162387,-134.710401,"M","S","NAD27","NAD83","02","02","110","US","NESENES10 T035S R064E C","JUNEAU D-3","  63360",80,"M",50,"NGVD29","19010301",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,23.5,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15056210",0.168954211808402,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TAIYA R NR SKAGWAY AK","ST",593043,1352040,59.5116183,-135.3462752,"M","S","NAD27","NAD83","02","02","230","US","SWNESES22 T027S R059E C","SKAGWAY C-1","  63360",7,"F",0.1,"NAVD88","19010303",NA,NA,"YNNNYNNNNNNNNYNNYNNNNNNNNNNNNN",NA,NA,178,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15056500",0.125896061966748,6.97534246575342,2013-01-11,2019-12-31,0,"USGS","CHILKAT R NR KLUKWAN AK","ST",592455,1355545,59.41494719,-135.9310198,"M","S","NAD27","NAD83","02","02","100","US","NENWSWS29 T028S R056E C","SKAGWAY B-3","  63360",0.1,"F",50,"NAVD88","19010303",NA,"C","YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20130101,760,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
