"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"02339495",0.47926434588529,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","OSELIGEE CREEK NEAR LANETT AL","ST",325405,851147,32.9015159,-85.1963308,"M","S","NAD27","NAD83","01","01","017","US","NW    S13 T22N  R28E",NA,NA,NA,NA,NA,NA,"03130002",NA,"C","NNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,86.4,86.4,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"02342500",0.439377998951041,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","UCHEE CREEK NEAR FORT MITCHELL, AL.","ST",321900,850054,32.31681467,-85.014931,"M","S","NAD27","NAD83","01","01","113","US",NA,NA,NA,201.76,"L",0.01,"NGVD29","03130003",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,322,322,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"023432415",0.240997305458847,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA","ST",313717,850336,31.62138889,-85.06,"G","S","NAD83","NAD83","13","01","067","US",NA,"FORT GAINES",NA,0,"L",0.1,"NGVD29","03130004",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,7460,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"CH-297F","Med"
"02361000",0.240677428656058,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.","ST",312034,853638,31.3429492,-85.6104912,"M","U","NAD27","NAD83","01","01","045","US",NA,NA,NA,138.56,"U",0.01,"NGVD29","03140201",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,686,686,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"02361500",0.207440988386305,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL","ST",310933,854704,31.15934229,-85.7843789,"M","S","NAD27","NAD83","01","01","061","US",NA,NA,NA,NA,NA,NA,NA,"03140201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1280,1280,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"02362240",0.418494006068044,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE, AL.","ST",311620,855730,31.27239318,-85.9582737,"M","U","NAD27","NAD83","01","01","031","US",NA,NA,NA,195,"U",0.01,"NGVD29","03140201",NA,NA,"YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,21.4,21.4,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"02363000",0.275520310709192,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","PEA RIVER NEAR ARITON AL","ST",313541,854659,31.59488716,-85.7829975,"M","U","NAD27","NAD83","01","01","045","US",NA,NA,NA,246.72,"U",0.01,"NGVD29","03140202",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,498,498,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"02369800",0.306759397112514,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BLACKWATER RIVER NEAR BRADLEY AL","ST",310139,864236,31.02767985,-86.7099567,"M","S","NAD27","NAD83","01","01","053","US",NA,NA,NA,121.87,"L",0.1,"NGVD29","03140104",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,87.7,87.7,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"02371500",0.203074851609299,9.9972602739726,2010-01-01,2019-12-31,0.000821467688937538,"USGS","CONECUH RIVER AT BRANTLEY AL","ST",313424,861506,31.57349458,-86.2516226,"M","S","NAD27","NAD83","01","01","041","US",NA,NA,NA,226.2,"L",0.01,"NGVD29","03140301",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,500,500,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"02372250",0.230790213992468,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","PATSALIGA CREEK NEAR BRANTLEY AL","ST",313546,862420,31.59627177,-86.40551809,"M","U","NAD27","NAD83","01","01","041","US",NA,NA,NA,220,"U",0.01,"NGVD29","03140302",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,442,442,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
