"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"07047855",1.35612145160024,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Whiteman's Crk at Ind Dr at Jonesboro, AR","ST",354831,903832,35.8086111,-90.6422222,"G","M","NAD83","NAD83","05","05","031","US","SWSW  S26 T14N  R4E",NA,NA,226.88,"X",0.25,"NAVD88","08020203",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,6.63,NA,"CST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"00100","High"
"07047942",0.146256867953573,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","LAnguille River near Colt, AR","ST",350841,905241,35.1447222,-90.8780556,"G","T","NAD83","NAD83","05","05","123","US","  NENWS 15T 06N R 02E 5",NA,NA,192.52,"L",0.01,"NGVD29","08020205",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,535,535,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"07047942","Low"
"07047950",0.104245392719524,9.86575342465753,2010-01-01,2019-12-31,0.0139649507119387,"USGS","LAnguille River at Palestine, AR","ST",345822,905308,34.97277778,-90.8855556,"M","1","NAD83","NAD83","05","05","123","US","  NWSWS 10T 04N R 02E 5",NA,NA,166.68,"U",10,"NGVD29","08020205",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,786,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"452808800","Low"
"07048480",1.07210570005534,5.43835616438356,2010-01-01,2015-06-08,0,"USGS","College Branch at MLK Blvd at Fayetteville, AR","ST",360325,941034,36.05694444,-94.1761111,"M","T","NAD83","NAD83","05","05","143","US","  SWSWS 16T 16N R 30W 5",NA,NA,NA,NA,NA,NA,"11010001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,0.86,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"00100","High"
"07048490",0.882168426274485,5.44109589041096,2010-01-01,2015-06-09,0,"USGS","Town Branch Trib at Hwy 16 at Fayetteville, AR","ST",360254,940944,36.0483333,-94.1622222,"N","T","NAD83","NAD83","05","05","143","US","  SENES 21T 16N R 30W 5",NA,NA,NA,NA,NA,NA,"11010001",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1.36,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"07048495",1.3278223325292,4.53972602739726,2015-06-18,2019-12-31,0.000603136308805818,"USGS","Town Branch at Armstrong St. at Fayetteville, AR","ST",360235.73,940809.68,36.0432583,-94.1360222,"G","U","NAD83","NAD83","05","05","143","US",NA,"FAYETTEVILLE, AR","  24000",1169.78,"X",0.25,"NAVD88","11010001",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"CST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"00100","High"
"07048550",0.618076921099271,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","West Fork White River east of Fayetteville, AR","ST",360314,940459,36.05388889,-94.0830556,"M","T","NAD83","NAD83","05","05","143","US","  NENWS20 T 16N R 29W 5",NA,NA,1149.48,"X",0.25,"NAVD88","11010001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,123,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"07048600",0.524119842601058,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","White River near Fayetteville, AR","ST",360423,940452,36.07305556,-94.0811111,"M","T","NAD83","NAD83","05","05","143","US","  NESWS 08T 16N R 29W 5",NA,NA,1138.25,"L",0.01,"NGVD29","11010001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,400,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"07048780",0.659508333390981,4.39452054794521,2015-08-07,2019-12-31,0.00248756218905477,"USGS","Richland Creek near Goshen, AR","ST",360254.8,935827.2,36.04855556,-93.9742222,"G","U","NAD83","NAD83","05","05","143","US","  NENWS20 T16N  R28W  5","GOSHEN, AR","  24000",1169,"N",1.6,"NAVD88","11010001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"CST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"00100","High"
"07048800",0.643589096473724,5.59178082191781,2010-01-01,2015-08-03,0,"USGS","Richland Creek at Goshen, AR","ST",360615,940027,36.10416667,-94.0075,"M","1","NAD83","NAD83","05","05","143","US","  NWNWS 31T 17N R 28W 5","ELKINS","  24000",NA,NA,NA,NA,"11010001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19870902,138,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
