"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"01477800",1.13248503013442,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SHELLPOT CREEK AT WILMINGTON, DE","ST",394539.5,753107.3,39.7609722,-75.5186944,"M","S","NAD83","NAD83","24","10","003","US",NA,NA,NA,14.15,"N",0.1,"NAVD88","02040205",NA,NA,"YYNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,7.46,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,441000100,"High"
"01478000",0.779631297541554,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CHRISTINA RIVER AT COOCHS BRIDGE, DE","ST",393814.6,754340.4,39.63738889,-75.72788889,"M","S","NAD83","NAD83","24","10","003","US",NA,"NEWARK EAST, DE","  24000",24.52,"N",0.1,"NAVD88","02040205",NA,NA,"YYYNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,20.5,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,441000100,"High"
"01478650",0.452498038995658,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WHITE CLAY CREEK AT NEWARK, DE","ST",394121.2,754455.5,39.6892222,-75.74875,"M","S","NAD83","NAD83","24","10","003","US",NA,"NEWARK EAST, DE","  24000",55.31,"N",0.1,"NAVD88","02040205",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,69,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,441000100,"Med"
"01479000",0.502626817531284,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WHITE CLAY CREEK NEAR NEWARK, DE","ST",394157.2,754030.1,39.6992222,-75.67502778,"M","S","NAD83","NAD83","24","10","003","US",NA,NA,NA,7.86,"N",0.1,"NAVD88","02040205",NA,NA,"YYNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,89.1,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,441000100,"High"
"01480000",0.457135413875991,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","RED CLAY CREEK AT WOODDALE, DE","ST",394546.1,753811.4,39.76280556,-75.6365,"M","S","NAD83","NAD83","24","10","003","US",NA,"NEWARK EAST, DE","  24000",80.34,"N",0.1,"NAVD88","02040205",NA,NA,"YYNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,47,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,441000100,"Med"
"01480015",0.47896035539648,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","RED CLAY CREEK NEAR STANTON, DE","ST",394256.7,753823.8,39.71575,-75.6399444,"M","S","NAD83","NAD83","24","10","003","US",NA,NA,NA,-1.12,"N",0.1,"NAVD88","02040205",NA,NA,"YNNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,52.4,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,441000100,"Med"
"01481500",0.366500962758736,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BRANDYWINE CREEK AT WILMINGTON, DE","ST",394610.2,753436.1,39.7695,-75.5766944,"N","1","NAD83","NAD83","24","10","003","US",NA,NA,NA,67.17,"N",0.1,"NAVD88","02040205",NA,NA,"YYNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,314,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,441000100,"Med"
"01483155",0.265520212952305,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SILVER LAKE TRIBUTARY AT MIDDLETOWN, DE","ST",392551.5,754234.1,39.4309722,-75.7094722,"N","1","NAD83","NAD83","24","10","003","US",NA,"MIDDLETOWN, DE","  24000",12.86,"D",0.01,"NAVD88","02040205",NA,NA,"YNYNYNYNNNYNNYNNNNNNNNNNNNNNNN",NA,NA,1.73,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,441000100,"Med"
"01483200",0.506216846739279,10,2010-01-01,2019-12-31,0.000547645125958396,"USGS","BLACKBIRD CREEK AT BLACKBIRD, DE","ST",392158.6,754009.8,39.36627778,-75.66938889,"M","S","NAD83","NAD83","24","10","003","US",NA,NA,NA,17.11,"N",0.1,"NAVD88","02040205",NA,NA,"YNNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,4.06,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,441000100,"High"
"01483700",0.382586524179245,10,2010-01-01,2019-12-31,0.000547645125958396,"USGS","ST JONES RIVER AT DOVER, DE","ST",390949.4,753108.7,39.1637222,-75.5190833,"M","S","NAD83","NAD83","24","10","001","US",NA,NA,NA,-0.77,"N",0.1,"NAVD88","02040207",NA,NA,"YYNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,31.9,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,441000100,"Med"
