"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"05387440",0.226277301788676,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Upper Iowa River at Bluffton, IA","ST",432425,915356,43.40691316,-91.8990464,"M","F","NAD27","NAD83","19","19","191","US","NWNWSES10 T099N R09W  5","Bluffton","  24000",945.5,"L",0.01,"NGVD29","07060002","01","C","YNNNYNYNNNNNNYNNYNNNNNNNNNNNNN",NA,19991015,367,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"461900100","Med"
"05387500",0.199599052725578,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","Upper Iowa River at Decorah, IA","ST",431817.7,914743.4,43.3048888,-91.7955429,"M","S","NAD27","NAD83","19","19","191","US","NWNESWS16 T098N R08W  5","Decorah","  24000",850,"L",0.01,"NGVD29","07060002","01","C","YNNNYNYNNNNNNYNNYNNNNNNNNNNNNN",NA,195108,511,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"461900100","Low"
"05388250",0.175905557905413,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Upper Iowa River near Dorchester, IA","ST",432516,913031,43.4210841,-91.5087519,"M","F","NAD27","NAD83","19","19","005","US","SESWNWS01 T099N R06W  5","Dorchester","  24000",660,"L",0.01,"NGVD29","07060002","01","C","YNNNYNYNNNNNNYNNYNNNNNNNNNNNNN",NA,19360923,770,NA,"CST","Y",NA,"YYNNNNNN",NA,NA,NA,NA,NA,NA,"461900100","Low"
"05389000",0.2601896804562,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Yellow River near Ion, IA","ST",430643,911554,43.11192665,-91.2651317,"M","F","NAD27","NAD83","19","19","005","US","NWSESWS24 T096N R04W  5","Giard","  24000",661.87,"L",0.01,"NGVD29","07060001","01","C","YNNNYNYNNNNNNYNNYNNNNNNNNNNNNN",NA,1934,221,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"461900100","Med"
"05389400",0.230372542827563,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Bloody Run Creek near Marquette, IA","ST",430227,911223,43.04081747,-91.2065192,"M","F","NAD27","NAD83","19","19","043","US","SESWSWS16 T095N R03W  5","Prairie du Chien","  24000",624.82,"L",0.01,"NGVD29","07060001","01","C","YNNNYNNNNNNNNYNNYNNNNNNNNNNNNN",NA,199109,34.13,NA,"CST","Y",NA,"YYNNNNNN",NA,NA,NA,NA,NA,NA,"461907200","Med"
"05389500",0.038737251741443,3.82739726027397,2010-01-01,2013-10-28,0,"USGS","Mississippi River at McGregor, IA","ST",430137.3,911021,43.02701224,-91.1726298,"M","S","NAD27","NAD83","19","19","043","US","SENESES22 T095N R03W  5","Prairie du Chien","  24000",604.84,"L",0.01,"NGVD29","07060001","01","C","YNNNYNNNNNYNNYNNNNNNNNNNNNNNNN",NA,19360815,67500,NA,"CST","Y",NA,"YYNNNNNN",NA,NA,NA,NA,NA,NA,"461900100","Low"
"05411600",0.273910314597782,9.74520547945206,2010-04-06,2019-12-31,0,"USGS","Turkey River at Spillville, IA","ST",431226.2,915701.2,43.20727778,-91.9503333,"N","1","NAD83","NAD83","19","19","191","US","NESWNES19 T097N R09W  5","Fort Atkinson","  24000",1036.73,"L",0.01,"NAVD88","07060004","02","C","YNNNYNNNNNNNNYNNYNNNNNNNNNNNNN",NA,19560601,177,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"461900100","Med"
"05411850",0.25467108800521,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Turkey River near Eldorado, IA","ST",430315.16,914832.18,43.0541879,-91.8090983,"M","1","NAD27","NAD83","19","19","065","US","NWSESES08 T095N R08W  5","Festina","  24000",890,"L",0.01,"NGVD29","07060004","02","C","YNNNYNYNNNNNNYNNYNNNNNNNNNNNNN",NA,20000922,641,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"461900100","Med"
"05411900",0.349963382674198,3.61369863013699,2014-03-26,2017-11-08,0.00377643504531722,"USGS","Otter Creek at Elgin, IA","ST",425708.7,913834.7,42.95241667,-91.6429722,"N","1","NAD83","NAD83","19","19","065","US","SWSWNES14 T094N R07W  5","Elgin NE","  24000",811.66,"L",0.01,"NAVD88","07060004","02","C","YNNNYNYNNNNNNYNNYNNNNNNNNNNNNN",NA,19610801,46.2,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"461900100","Med"
"05412020",0.185418732794705,9.96986301369863,2010-01-01,2019-12-31,0.00355969331872952,"USGS","Turkey River above French Hollow Cr at Elkader, IA","ST",425036.6,912404.1,42.84348517,-91.4012767,"M","1","NAD27","NAD83","19","19","043","US","NWSENWS26 T093N R05W  5","Elkader","  24000",694.93,"L",0.01,"NGVD29","07060004","02","C","YNNNYNYNNNNNNYNNYNNNNNNNNNNNNN",NA,20010827,903,NA,"CST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"461900100","Low"
