"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"10039500",0.0425054850242923,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BEAR RIVER AT BORDER, WY","ST",421240,1110311,42.21104338,-111.0538022,"M","F","NAD27","NAD83","49","16","007","US","NENENES15 T14S  R46E",NA,NA,6051.63,"M",20,"NGVD29","16010102","10",NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2480,NA,"MST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"10068500",0.0542952585306043,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BEAR RIVER AT PESCADERO, ID","ST",422406,1112122,42.4015929,-111.356875,"M","F","NAD27","NAD83","49","16","007","US","SWSWSES06 T12S  R44E",NA,NA,5950,"M",20,"NGVD29","16010201","10",NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,3705,NA,"MST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"10079500",0.0517354633595207,3.00547945205479,2014-09-30,2017-09-30,0,"USGS","BEAR RIVER AT ALEXANDER, ID","ST",423842,1114151,42.64492008,-111.6982833,"M","F","NAD27","NAD83","49","16","029","US","NESWNWS17 T09S  R41E",NA,NA,5630,"M",20,"NGVD29","16010202","10",NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,4093,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"10092700",0.0655014040889169,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BEAR RIVER AT IDAHO-UTAH STATE LINE","ST",420047,1115514,42.0129808,-111.92134,"M","F","NAD27","NAD83","49","16","041","US","NENWNES29 T 16S R 39E",NA,NA,4420,"M",20,"NGVD29","16010202","10",NA,"YYNNYNNNNYNNNNNNNNNNNNNNNNNNNN",NA,NA,4884,NA,"MST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"464900100","Low"
"12306500",0.084038729443331,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","MOYIE RIVER AT EASTPORT ID","ST",485957,1161047,48.99916667,-116.1797222,"G","1","NAD83","NAD83","16","16","021","US","NWNESES10 T65N  R02E  B","Eastport","  24000",2620.06,"L",0.01,"NGVD29","17010105",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,570,NA,"PST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"12308000",0.0579332789664047,9.33698630136986,2010-09-02,2019-12-31,0,"USGS","KOOTENAI RIVER BEL MOYIE RIVER NR BONNERS FERRY ID","ST",484202,1161148,48.70055556,-116.1966667,"G","S","NAD83","NAD83","16","16","021","US","SENWNWS27 T62N  R02E","MOYIE SPRINGS","  24000",1700,"F",1,"NAVD88","17010104",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"PST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low"
"12310100",0.0570786292642787,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","KOOTENAI RIVER @ TRIBAL HATCHERY NR BONNERS FERRY","ST",484219,1162211,48.70527778,-116.3697222,"M","S","NAD83","NAD83","16","16","021","US","NESWSWS20 T62N  R01E  B","BONNERS FERRY","  24000",1699.88,"G",0.01,"NAVD88","17010104",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"PST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low"
"12321500",0.139045703560831,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BOUNDARY CREEK NR PORTHILL ID","ST",485950,1163409,48.9972222,-116.5691667,"N","5","NAD83","NAD83","16","16","021","US","SWNWSWS11 T65N  R02W  B","SMITH FALLS","  24000",1776,"N",1.6,"NAVD88","17010104",NA,"C","YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,97,NA,"PST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"12322000",0.0610336594731461,6.25479452054795,2013-10-01,2019-12-31,0,"USGS","KOOTENAI RIVER AT PORTHILL ID","ST",485947,1163027,48.99638889,-116.5075,"G","S","NAD83","NAD83","16","16","021","US","SENESES07 T65N  R01W  B","Smith Falls","  24000",1700,"M",20,"NGVD29","17010104",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,13700,NA,"PST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"12322001",0.0572047928854753,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","KOOTENAI RIVER AT PORTHILL ID (TOTAL FLOW)","ST",490000,1163010,48.9999522,-116.5038223,"M","F","NAD27","NAD83","16","16","021","US",NA,NA,NA,NA,NA,NA,NA,"17010104",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20150108,13700,NA,"PST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
