"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"03207965",0.424829333472157,9.66575342465753,2010-01-01,2019-12-31,0.0339539978094195,"USGS","GRAPEVINE CREEK NEAR PHYLLIS, KY","ST",372557,822114,37.43260479,-82.3537563,"M","U","NAD27","NAD83","21","21","195","US",NA,NA,NA,780,"U",10,"NGVD29","05070202",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,6.2,6.2,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03209500",0.278636071316089,9.98630136986301,2010-01-01,2019-12-31,0.00191675794085433,"USGS","LEVISA FORK AT PIKEVILLE, KY","ST",372751,823135,37.4642676,-82.5262632,"M","F","NAD27","NAD83","21","21","195","US",NA,NA,NA,632.88,"M",1,"NGVD29","05070203",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1232,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03210000",0.437053794629121,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","JOHNS CREEK NEAR META, KY","ST",373401,822729,37.5670444,-82.45792659,"M","F","NAD27","NAD83","21","21","195","US",NA,NA,NA,715.66,"L",0.01,"NGVD29","05070203",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,56.3,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03212500",0.261049712807922,10,2010-01-01,2019-12-31,0.000547645125958396,"USGS","LEVISA FORK AT PAINTSVILLE, KY","ST",374855,824730,37.81537197,-82.7915493,"M","F","NAD27","NAD83","21","21","115","US",NA,NA,NA,566.84,"M",1,"NGVD29","05070203",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2144,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03213700",0.29740067697444,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TUG FORK AT WILLIAMSON, WV","ST",374023,821649,37.67315699,-82.2801408,"M","T","NAD27","NAD83","54","21","195","US",NA,NA,NA,619.68,"M",20,"NAVD88","05070201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,936,936,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03215410",0.564712715009426,7.5013698630137,2012-02-07,2019-12-31,0.0509532062391681,"USGS","BLAINE CREEK NEAR BLAINE, KY","ST",380146,825049,38.0295332,-82.846829,"M","U","NAD27","NAD83","21","21","127","US",NA,NA,NA,632.46,"X",0.01,"NAVD88","05070204",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,79.23,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03216500",0.360868685222092,9.9972602739726,2010-01-01,2019-12-31,0.000821467688937538,"USGS","LITTLE SANDY RIVER AT GRAYSON, KY","ST",381948,825622,38.3300813,-82.9393353,"M","F","NAD27","NAD83","21","21","043","US",NA,NA,NA,557.95,"M",1,"NGVD29","05090104",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,400,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03216600",0.162109323569088,4.83287671232877,2010-01-01,2014-10-30,0,"USGS","OHIO RIVER AT GREENUP DAM NEAR GREENUP, KY","ST",383848,825138,38.6467448,-82.860447,"M","F","NAD27","NAD83","21","21","089","US",NA,NA,NA,472.97,"M",0.01,"COE1912","05090103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,62000,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"03217000",0.572451741513263,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TYGARTS CREEK NEAR GREENUP, KY","ST",383351,825708,38.5642453,-82.9521158,"M","U","NAD27","NAD83","21","21","089","US",NA,NA,NA,547.14,"U",0.01,"NGVD29","05090103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,242,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03238140",1.10402895015876,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TAYLOR CREEK AT DONNERMEYER DRIVE AT BELLEVUE, KY","ST",390550,842858,39.0972823,-84.4827199,"M","S","NAD27","NAD83","21","21","037","US",NA,"NEWPORT","  24000",479.49,"D",0.01,"NAVD88","05090203",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,4.24,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"High"
"03238745",1.03166010844636,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TWELVEMILE CREEK AT HIGHWAY 1997 NR ALEXANDRIA, KY","ST",385705,842018,38.9514529,-84.3382712,"M","F","NAD27","NAD83","21","21","037","US",NA,NA,NA,505.85,"D",0.01,"NGVD29","05090201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,39,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03238772",0.995272587729077,9.19178082191781,2010-01-01,2019-12-31,0.0813253012048193,"USGS","FOURMILE CREEK AT POPLAR RIDGE RD NR ALEXANDRIA,KY","ST",385912,842155,38.98666667,-84.3652778,"S","H","NAD83","NAD83","21","21","037","US",NA,NA,NA,535.24,"D",0.01,"NGVD29","05090201",NA,"C","NNNNYNYNNYNNNYNNNNNNNNNNNNNNNN",NA,NA,3.1,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"442100104","High"
"03248300",0.42385046380975,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","LICKING RIVER BELOW MASON FORK NR SALYERSVILLE, KY","ST",374350,830329,37.73064817,-83.0579478,"M","H","NAD27","NAD83","21","21","153","US",NA,NA,NA,840,"M",10,"NGVD29","05100101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,107,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03250100",0.740401490075401,7.24931506849315,2012-09-30,2019-12-31,0.0011325028312571,"USGS","NORTH FORK TRIPLETT CREEK NEAR MOREHEAD, KY","ST",381157,832850,38.1992478,-83.4804635,"M","U","NAD27","NAD83","21","21","205","US",NA,NA,NA,678.03,"L",0.01,"NGVD29","05100101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,84.7,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03250190",0.804909770833767,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SLATE CREEK AT HIGHWAY 713 NR MT. STERLING, KY","ST",380126,834954,38.02396899,-83.8315854,"S","H","NAD27","NAD83","21","21","173","US",NA,NA,NA,749.59,"L",0.01,"NGVD29","05100101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,84.5,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03250322",0.686701608051007,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","ROCK LICK CR AT STATE HWY 158 NR SHARKEY, KY STA D","ST",381450,833522,38.24730198,-83.5893567,"M","F","NAD27","NAD83","21","21","069","US",NA,NA,NA,NA,NA,NA,NA,"05100101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,4.2,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03250500",0.243119699059022,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","LICKING RIVER AT BLUE LICK SPRINGS, KY","ST",382512,835951,38.4200749,-83.9974261,"G","S","NAD27","NAD83","21","21","181","US",NA,NA,NA,560.99,"G",0.01,"NGVD29","05100101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1785,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03251200",0.583886683425694,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","NORTH FORK LICKING RIVER NEAR MT OLIVET, KY","ST",383541,840113,38.5947955,-84.0202056,"M","F","NAD27","NAD83","21","21","023","US",NA,NA,NA,622.46,"D",0.01,"NGVD29","05100101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,226,226,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03251500",0.262968879035845,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","LICKING RIVER AT MCKINNEYSBURG, KY","ST",383600,841559,38.60007244,-84.2663239,"M","H","NAD27","NAD83","21","21","191","US",NA,NA,NA,520.83,"D",0.01,"NGVD29","05100101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2326,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03251900",0.653532327530309,4.26849315068493,2015-09-26,2019-12-31,0,"USGS","STONER CREEK AT WATER PLANT AT PARIS, KY","ST",381218,841417,38.205,-84.2380556,"N","1","NAD83","NAD83","21","21","017","US",NA,"PARIS EAST","  24000",772.57,"Y",0.01,"NAVD88","05100102",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20150914,NA,NA,"EST","Y","C",NA,NA,NA,NA,NA,NA,NA,NA,"High"
"03252300",0.60104641514512,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","HINKSTON CREEK NEAR CARLISLE, KY","ST",381450.5,840318.8,38.2474368,-84.05514979,"G","1","NAD27","NAD83","21","21","017","US",NA,NA,NA,NA,NA,NA,NA,"05100102",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,154,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03253000",0.466232841568094,6.82739726027397,2013-03-06,2019-12-31,0,"USGS","SOUTH FORK LICKING RIVER AT HAYES, KY","ST",383931,842107,38.6586817,-84.3518814,"M","U","NAD27","NAD83","21","21","191","US",NA,NA,NA,536.5,"Y",0.01,"NAVD88","05100102",NA,NA,"NNNNNYNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,915,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03253500",0.295345196838833,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","LICKING RIVER AT CATAWBA, KY","ST",384237,841839,38.7103478,-84.3107693,"M","F","NAD27","NAD83","21","21","191","US",NA,NA,NA,500.01,"M",1,"NGVD29","05100101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,3300,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03254480",0.919590532023657,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CRUISES CREEK AT HWY 17 NR PINER, KY","ST",385040,843156,38.84444444,-84.5322222,"S","H","NAD83","NAD83","21","21","117","US",NA,NA,NA,656.92,"D",0.01,"NGVD29","05100101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,18,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03254520",0.297628194549209,9.04383561643836,2010-10-02,2019-12-31,0.0227945529899348,"USGS","LICKING RIVER AT HWY 536 NEAR ALEXANDRIA, KY","ST",385513,842653,38.9203417,-84.44799549,"M","S","NAD27","NAD83","21","21","037","US",NA,"ALEXANDRIA","  24000",448.82,"D",0.01,"NAVD88","05100101",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,3593,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Med"
"03254550",0.822811971668833,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BANKLICK CREEK @ HIGHWAY 1829 NR ERLANGER, KY","ST",385850,843230,38.98055556,-84.5416667,"S","H","NAD83","NAD83","21","21","117","US",NA,NA,NA,540.33,"D",0.01,"NGVD29","05100101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,30,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03254693",1.00576016032188,6.52328767123288,2013-06-21,2019-12-31,0.00167714884696013,"USGS","THREEMILE CREEK AT THREE MILE ROAD AT COVINGTON,KY","ST",390300.52,842906.38,39.05020525,-84.4850474,"M","S","NAD27","NAD83","21","21","037","US",NA,"NEWPORT","  24000",474.82,"N",0.01,"NAVD88","05100101",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20130701,3.14,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"High"
"03260015",0.932881215508625,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","PLEASANT RUN CREEK AT OAK STREET NEAR LUDLOW, KY","ST",390507,843328,39.08533764,-84.5577214,"M","S","NAD27","NAD83","21","21","117","US",NA,"COVINGTON","  24000",470.36,"D",0.01,"NGVD29","05090203",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,6.39,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"High"
"03260050",1.07440588247619,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","DRY CREEK AT SEWAGE PLANT NEAR ERLANGER, KY","ST",390332,843658,39.05894888,-84.6160558,"M","S","NAD27","NAD83","21","21","117","US",NA,"COVINGTON","  24000",519.61,"D",0.01,"NGVD29","05090203",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,12.8,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"High"
"03260100",1.19268337573695,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","ELIJAHS CREEK @ ELIJAHS CREEK RD NR HEBRON, KY","ST",390447,844107,39.0797222,-84.6852778,"S","H","NAD83","NAD83","21","21","015","US",NA,NA,NA,759.08,"D",0.01,"NGVD29","05090203",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,4.03,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03262001",0.977660407915466,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WOOLPER CREEK AT WOOLPER ROAD NEAR BURLINGTON, KY","ST",390148,844815,39.03,-84.8041667,"S","H","NAD83","NAD83","21","21","015","US",NA,NA,NA,490.67,"D",0.01,"NGVD29","05090203",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,24.2,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03277075",0.977664625837729,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","GUNPOWDER CR AT CAMP ERNST RD NR UNION, KY","ST",385939,844258,38.99416667,-84.7161111,"S","H","NAD83","NAD83","21","21","015","US",NA,NA,NA,683.06,"D",0.01,"NAVD88","05090203",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,36.6,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
