"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"04010500",0.113630594786053,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","PIGEON RIVER AT MIDDLE FALLS NR GRAND PORTAGE MN","ST",480044,893658,48.01210765,-89.6161984,"M","S","NAD27","NAD83","27","27","031","US","SWNE  S24 T64N  R6E",NA,NA,787.58,"L",0.01,"NGVD29","04010101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,609,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-00106","Low"
"04015330",0.444420944133012,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","KNIFE RIVER NEAR TWO HARBORS, MN","ST",465649,914732,46.94688005,-91.7924013,"M","S","NAD27","NAD83","27","27","075","US","SWNW  S31 T52N  R11W",NA,NA,NA,NA,NA,NA,"04010102",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,83.6,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-00112","Med"
"04015438",0.0728294435484481,8.38356164383562,2011-08-16,2019-12-31,0,"USGS","ST. LOUIS RIVER NEAR SKIBO, MN","ST",472852,920224,47.4811111,-92.04,"M","S","NAD83","NAD83","27","27","137","US",NA,NA,NA,1500,"L",0.01,"NAVD88","04010201","02","C","NNNYNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20110817,101,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-FGJ00","Low"
"04021520",0.101738088373691,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","STONEY BROOK AT PINE DRIVE NEAR BROOKSTON, MN","ST",464654,923812,46.78166667,-92.6366667,"M","S","NAD83","NAD83","27","27","137","US","SWSW  S28 T50N  R18W","MARTIN LAKE QUAD","  24000",NA,NA,NA,NA,"04010201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20050428,74,NA,"CST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"MN-00101","Low"
"04024000",0.103474376986244,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","ST. LOUIS RIVER AT SCANLON, MN","ST",464212,922507,46.7032765,-92.4188018,"M","S","NAD27","NAD83","27","27","017","US","SENW  S30 T49N  R16W",NA,NA,1101.23,"L",0.01,"NGVD29","04010201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,3430,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-00112","Low"
"05030500",0.0211019046048861,9.92876712328767,2010-01-01,2019-12-03,0,"USGS","OTTER TAIL RIVER NEAR ELIZABETH, MN","ST",462210,960102,46.3694039,-96.0175556,"M","S","NAD27","NAD83","27","27","111","US","SWSE  S31 T134N R42W",NA,NA,1250,"M",10,"NGVD29","09020103",NA,NA,"NYYNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,1130,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-00100","Low"
"05046000",0.028701155440356,10,2010-01-01,2019-12-31,0.000547645125958396,"USGS","OTTER TAIL RIVER BL ORWELL D NR FERGUS FALLS, MN","ST",461235,961105,46.20968199,-96.1850614,"M","S","NAD27","NAD83","27","27","111","US","  NENES34 T132N R44W",NA,NA,1029.65,"L",0.01,"COE1912","09020103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1740,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-00112","Low"
"05046475",0.176837122704364,9.83561643835616,2010-01-01,2019-10-30,0,"USGS","OTTER TAIL RIVER DIVERSION AT BRECKENRIDGE, MN","ST",461657,963456,46.2824591,-96.5825733,"N","R","NAD27","NAD83","38","27","167","US","      S04 T132N R47W  5","WAHPETON, ND","  24000",940.03,"W",0.01,"NAVD88","09020104",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"CST","Y",NA,"Y",NA,NA,NA,NA,NA,NA,"863800100","Low"
"05051300",0.0991862277669329,9.89041095890411,2010-01-01,2019-11-26,0.0019353055017971,"USGS","BOIS DE SIOUX RIVER NEAR DORAN, MN","ST",460908,963444,46.1521813,-96.5792389,"M","S","NAD27","NAD83","27","27","167","US","NENE  S21 T131N R47W",NA,NA,NA,NA,NA,NA,"09020101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1880,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-00100","Low"
"05061000",0.0936893238058362,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BUFFALO RIVER NEAR HAWLEY, MN","ST",465100,961945,46.84995979,-96.3295093,"M","S","NAD27","NAD83","27","27","027","US","NWSE  S14 T139N R45W",NA,NA,1111.91,"L",0.01,"NGVD29","09020106",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,325,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-00112","Low"
