"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"05014500",0.144222823693284,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Swiftcurrent Creek at Many Glacier MT","ST",484755.8,1133924.23,48.7988333,-113.6567306,"N","1","NAD83","NAD83","30","30","035","US","    SES11 T35N  R16W  P","MANY GLACIER",NA,4876.78,"L",0.01,"NGVD29","09040001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,31.2,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"05017500",0.0486667444098082,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","St. Mary River near Babb MT","ST",484959,1132511,48.83303718,-113.4206533,"M","S","NAD27","NAD83","30","30","035","US","NWNWSES34 T36N  R14W  P","BABB",NA,4468.13,"L",0.01,"NGVD29","09040001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,275,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06018500",0.0493446932489914,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Beaverhead River near Twin Bridges MT","ST",452300.2,1122710.19,45.38338889,-112.4528306,"N","1","NAD83","NAD83","30","30","057","US","SWNWSES22 T05S  R07W  P","BEAVERHEAD ROCK",NA,4809.15,"L",0.01,"NGVD29","10020002",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,3618,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06019500",0.0666632951430236,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Ruby River above reservoir near Alder, MT","ST",451132.35,1120834.14,45.1923194,-112.1428167,"N","1","NAD83","NAD83","30","30","057","US","NWSESWS30 T07S  R04W  P","METZEL RANCH",NA,5400,"M",20,"NAVD88","10020003",NA,NA,"YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,534,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06020600",0.0487764277269534,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Ruby River below reservoir near Alder, MT","ST",451430.73,1120640.46,45.2418694,-112.1112389,"N","1","NAD83","NAD83","30","30","057","US","SESENES08 T07S  R04W  P","RUBY DAM",NA,5286.6,"L",0.1,"NGVD29","10020003",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,595,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06025500",0.0783428623068634,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Big Hole River near Melrose MT","ST",453135.69,1124206.21,45.52658056,-112.701725,"N","1","NAD83","NAD83","30","30","057","US","SESESWS34 T03S  R09W  P","EARLS GULCH",NA,5032.87,"L",0.01,"NGVD29","10020004",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2472,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06026500",0.0637457911607184,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Jefferson River near Twin Bridges MT","ST",453647.82,1121945.83,45.6132833,-112.3293972,"N","1","NAD83","NAD83","30","30","057","US","NWSWSES34 T02S  R06W  P","TWIN BRIDGES",NA,4560,"M",1,"NAVD88","10020005",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,7616,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06033000",0.114448954509934,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Boulder River near Boulder MT","ST",461239.71,1120529.94,46.21103056,-112.09165,"N","1","NAD83","NAD83","30","30","043","US","SENESWS03 T05N  R04W  P","BOULDER EAST",NA,4810,"A",10,"NAVD88","10020006",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,381,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,"463016500","Low"
"06036650",0.0595701171385058,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Jefferson River near Three Forks MT","ST",455349.69,1113544.42,45.8971361,-111.5956722,"N","1","NAD83","NAD83","30","30","007","US","SWSWNWS27 T02N  R01E  P","THREE FORKS",NA,4076.76,"L",0.01,"NGVD29","10020005",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,9558,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06037500",0.0374402762839227,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Madison River near West Yellowstone, MT","ST",443925.46,1110404.67,44.6570722,-111.0679639,"N","1","NAD83","NAD83","30","30","031","US","NENWSWS36 T13S  R05E  P","WEST YELLOWSTONE","  24000",6650,"M",1,"NAVD88","10020007",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,435,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06038500",0.0163425225173768,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Madison River bl Hebgen Lake nr Grayling MT","ST",445159.01,1112019.61,44.86639167,-111.3387806,"N","1","NAD83","NAD83","30","30","031","US","NENENES22 T11S  R03E  P","HEBGEN DAM",NA,6448.47,"L",0.01,"NGVD29","10020007",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,931,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06038800",0.0207556718519513,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Madison River at Kirby Ranch nr Cameron MT","ST",445319.16,1113451.19,44.88865556,-111.580886,"N","1","NAD83","NAD83","30","30","057","US","NENESES10 T11S  R13","SQUAW CREEK",NA,5860,"M",1,"NAVD88","10020007",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1092,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06040800",0.13724703319996,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Madison River ab powerplant nr McAllister MT","ST",452911.74,1113801.89,45.4865944,-111.6338583,"N","1","NAD83","NAD83","30","30","057","US","NWNESWS17 T04S  R01E  P","ENNIS LAKE",NA,4690,"M",5,"NAVD88","10020007",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2150.2,NA,"MST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"06041000",0.0440283360465061,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Madison River bl Ennis Lake nr McAllister MT","ST",452924.83,1113804.22,45.49023056,-111.6345056,"N","1","NAD83","NAD83","30","30","057","US","SWSENWS17 T04S  R01E  P","ENNIS LAKE",NA,4689.03,"L",0.01,"NGVD29","10020007",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2150.4,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06043500",0.070327274243852,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Gallatin River near Gallatin Gateway, MT","ST",452950.28,1111614.55,45.4973,-111.2707083,"N","1","NAD83","NAD83","30","30","031","US","SESESES07 T04S  R04E  P","BEACON POINT","  24000",5167.67,"L",0.01,"NGVD29","10020008",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,819,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06048650",0.0909890568740132,5.22739726027397,2014-10-11,2019-12-31,0,"USGS","E Gallatin R ab Water Reclamation Fa nr Bozeman MT","ST",454332.4,1110358.3,45.72566667,-111.0661944,"N","1","NAD83","NAD83","30","30","031","US","SENE  S26 T01S  R05E",NA,NA,4625,"M",5,"NGVD29","10020008",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,226,NA,"MST","Y","C",NA,NA,NA,NA,NA,NA,NA,NA,"Low"
"06048700",0.0849988211575377,4.75068493150685,2010-01-01,2014-09-30,0,"USGS","East Gallatin R bl Bridger C nr Bozeman MT","ST",454331.53,1110406.93,45.725425,-111.0685917,"N","1","NAD83","NAD83","30","30","031","US","NESWNES26 T01S  R05E  P","BOZEMAN",NA,4610,"M",10,"NAVD88","10020008",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,230,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06050000",0.0534646307288729,4.37534246575343,2015-08-18,2019-12-31,0,"USGS","Hyalite C at Hyalite R S nr Bozeman MT","ST",453341.28,1110416.05,45.56146667,-111.071125,"N","1","NAD83","NAD83","30","30","031","US","  NWSES23 T03S  R05E  M","WHEELER MOUNTAIN, MT","  24000",5539.6,"L",0.1,"NGVD29","10020008",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,48.5,NA,"MST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
