"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"05051500",-0.0257763345047733,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","RED RIVER OF THE NORTH AT WAHPETON, ND","ST",461558,963554,46.26607,-96.5986848,"M","F","NAD27","NAD83","38","38","077","US","      S08 T132N R47W  5","WAHPETON, ND",NA,944.06,"W",0.1,"NAVD88","09020104",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,4010,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"05051522",0.0603590554722288,9.92876712328767,2010-01-01,2019-12-03,0,"USGS","RED RIVER OF THE NORTH AT HICKSON, ND","ST",463935,964744,46.65968548,-96.7959154,"M","F","NAD27","NAD83","38","38","017","US","      S19 T137N R48W  5","HICKSON, ND",NA,878,"W",0.1,"NAVD88","09020104",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,4300,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"STATE","Low"
"05052000",0.0780020781413067,9.84109589041096,2010-03-01,2019-12-31,0.000278318953520706,"USGS","WILD RICE RIVER NEAR MANTADOR, ND","ST",461021,970037,46.17245926,-97.0106403,"M","S","NAD27","NAD83","38","38","077","US","      S07 T131N R50W  5","MOSELLE, ND",NA,1007,"N",1.6,"NAVD88","09020105",NA,NA,"YNNNYNNNNYNNNNNNYNNNNNNNNNNNNN",NA,NA,1540,1160,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"8638001","Low"
"05053000",0.122955869152052,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","WILD RICE RIVER NR ABERCROMBIE, ND","ST",462814,964655,46.4705168,-96.7823018,"M","F","NAD27","NAD83","38","38","077","US","      S36 T135N R49W  5","GALCHUTT, ND",NA,909.18,"W",0.1,"NAVD88","09020105",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2080,1490,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"05054000",0.0710029194560609,9.94520547945205,2010-01-01,2019-12-09,0,"USGS","RED RIVER OF THE NORTH AT FARGO, ND","ST",465140,964700,46.861075,-96.7836924,"M","F","NAD27","NAD83","38","38","017","US","      S18 T139N R48W  5","FARGO SOUTH, ND","  24000",862.88,"W",0.1,"NAVD88","09020104",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,6800,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"AMB","Low"
"05054500",0.125394167934891,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SHEYENNE RIVER ABOVE HARVEY, ND","ST",474210,995655,47.7027775,-99.9490145,"M","F","NAD27","NAD83","38","38","103","US","  SWSES24 T149N R73W  5","MANFRED NW, ND",NA,1548.6,"L",0.1,"NAVD88","09020202",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,424,154,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"STATE","Low"
"05055300",0.110912005383482,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SHEYENNE R AB DEVILS LK STATE OUTLET NR FLORA, ND","ST",475428,992456,47.90777778,-99.4155556,"G","S","NAD83","NAD83","38","38","005","US","  SWSES07 T151N R68W  5","FLORA, ND",NA,1416.22,"M",0.01,"NAVD88","09020202",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1661,591,"CST","Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"05056000",0.0885168080263801,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SHEYENNE RIVER NR WARWICK, ND","ST",474820,984257,47.8055534,-98.7162172,"M","F","NAD27","NAD83","38","38","027","US","  SWSWS15 T150N R63W  5","WARWICK, ND",NA,1377.52,"L",0.01,"NAVD88","09020203",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2070,760,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"STATE","Low"
"05057000",0.0646068376689859,9.93698630136986,2010-01-01,2019-12-07,0.000275633958103594,"USGS","SHEYENNE RIVER NR COOPERSTOWN, ND","ST",472558,980138,47.43277097,-98.0275954,"M","F","NAD27","NAD83","38","38","039","US","  NWSWS26 T146N R58W  5","COOPERSTOWN EAST, ND",NA,1272.94,"L",0.01,"NAVD88","09020203",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,6470,1270,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"05057200",0.143596432641084,9.86849315068493,2010-01-01,2019-11-11,0,"USGS","BALDHILL CREEK NR DAZEY, ND","ST",471345,980728,47.2291562,-98.1248189,"M","F","NAD27","NAD83","38","38","003","US","  SESWS02 T143N R59W  5","DAZEY NE, ND",NA,1331,"M",5,"NAVD88","09020203",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,691,351,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"STATE","Low"
"05058000",0.065893589077296,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SHEYENNE RIVER BELOW BALDHILL DAM, ND","ST",470202,980500,47.0338718,-98.0837077,"N","R","NAD27","NAD83","38","38","003","US","      S18 T141N R58W  5","BALDHILL DAM, ND",NA,1201.17,"L",0.01,"NAVD88","09020204",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,7470,1910,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"05058700",0.0671533592400918,9.86575342465753,2010-01-01,2019-11-10,0,"USGS","SHEYENNE RIVER AT LISBON, ND","ST",462649,974044,46.4469123,-97.6792652,"M","F","NAD27","NAD83","38","38","073","US","  NESES02 T134N R56W  5","LISBON, ND",NA,1067.47,"L",0.01,"NAVD88","09020204",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,8190,2490,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"05059000",0.0531965277415108,9.87123287671233,2010-01-01,2019-11-12,0,"USGS","SHEYENNE RIVER NEAR KINDRED, ND","ST",463754,970001,46.63163288,-97.000643,"M","F","NAD27","NAD83","38","38","017","US","      S33 T137N R50W  5","KINDRED, ND",NA,926.5,"L",0.1,"NAVD88","09020204",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,8800,3020,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"ND001","Low"
"05059300",0.0514213579057792,9.87123287671233,2010-01-01,2019-11-12,0,"USGS","SHEYENNE R AB SHEYENNE R DIVERSION NR HORACE, ND","ST",464447,965537,46.74638889,-96.9269444,"M","F","NAD83","NAD83","38","38","017","US","      S25 T138N R50W  5","NORMAN, ND",NA,890.95,"M",10,"NAVD88","09020204",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,8840,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"ND001","Low"
"05059310",0.10178315169024,9.86575342465753,2010-01-01,2019-11-12,0.000555092978073879,"USGS","SHEYENNE RIVER DIVERSION NR HORACE, ND","ST",464506,965533,46.7516335,-96.9261978,"M","F","NAD27","NAD83","38","38","017","US","  NESES24 T138N R50W  5","WEST FARGO SOUTH, ND",NA,890.95,"M",10,"NAVD88","09020204",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"05059480",0.0842469340992732,9.86575342465753,2010-01-01,2019-11-10,0,"USGS","SHEYENNE RIVER DIVERSION AT WEST FARGO, ND","ST",465328,965459,46.8910787,-96.916751,"N","R","NAD27","NAD83","38","38","017","US","  NENWS06 T139N R49W  5","WEST FARGO NORTH, ND",NA,877.72,"L",0.01,"NAVD88","09020204",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"ND001","Low"
"05059500",0.0597008381328143,9.79178082191781,2010-01-01,2019-10-14,0,"USGS","SHEYENNE RIVER AT WEST FARGO, ND","ST",465328,965424,46.8910784,-96.9070286,"M","F","NAD27","NAD83","38","38","017","US","      S31 T140N R49W  5","WEST FARGO NORTH, ND",NA,878.1,"L",0.1,"NAVD88","09020204",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,8870,3090,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"05059700",0.150651823613258,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","MAPLE RIVER NR ENDERLIN, ND","ST",463718,973425,46.6216388,-97.5739851,"M","F","NAD27","NAD83","38","38","073","US","  NWSWS02 T136N R55W  5","ENDERLIN SOUTH, ND",NA,1057.8,"L",0.1,"NAVD88","09020205",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,843,796,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"STATE","Low"
"05060100",0.122261224571448,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","MAPLE RIVER BL MAPLETON, ND","ST",465419,970308,46.9052487,-97.052587,"M","F","NAD27","NAD83","38","38","017","US","      S31 T140N R50W  5","MAPLETON, ND",NA,881.39,"L",0.01,"NAVD88","09020205",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1480,1410,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"05060500",0.305931025131346,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","RUSH RIVER AT AMENIA, ND","ST",470100,971250,47.0166413,-97.214254,"M","F","NAD27","NAD83","38","38","017","US","      S24 T141N R52W  5","ARTHUR, ND",NA,941.88,"W",0.1,"NAVD88","09020204",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,116,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"STATE","Med"
"05064500",0.0651652232422146,9.86849315068493,2010-01-01,2019-11-11,0,"USGS","RED RIVER OF THE NORTH AT HALSTAD, MN","ST",472107,965036,47.351918,-96.843691,"M","S","NAD27","NAD83","38","38","097","US","      S25 T145N R49W  5","HALSTAD, MN",NA,827.74,"L",0.01,"NAVD88","09020107",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,21800,NA,"CST","Y",NA,"YYNNNNNN",NA,NA,NA,NA,NA,NA,"STATE","Low"
"05066500",0.177588269316957,9.85753424657534,2010-01-01,2019-11-07,0,"USGS","GOOSE RIVER AT HILLSBORO, ND","ST",472434,970339,47.40942385,-97.0611974,"M","F","NAD27","NAD83","38","38","097","US","      S05 T145N R50W  5","HILLSBORO, ND","  24000",880.6,"W",0.1,"NAVD88","09020109",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1203,1093,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"AMB","Low"
"05070000",0.0664870739813115,9.87123287671233,2010-01-01,2019-11-12,0,"USGS","RED RIVER OF THE NORTH NEAR THOMPSON, ND","ST",474532,965637,47.7588646,-96.9439684,"M","S","NAD27","NAD83","38","38","035","US","  NWNES05 T149N R49W  5","BYGLAND, MN",NA,779.8,"W",0.1,"NAVD88","09020301",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,24010,NA,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,"ND001","Low"
"05082500",0.0684800630202953,9.94246575342466,2010-01-01,2019-12-08,0,"USGS","RED RIVER OF THE NORTH AT GRAND FORKS, ND","ST",475537,970144,47.9269234,-97.0292435,"N","R","NAD27","NAD83","38","38","035","US","      S03 T151N R50W  5","GRAND FORKS, ND",NA,780.07,"W",0.1,"NAVD88","09020301",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,30100,26300,"CST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
