"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"06453600",0.25674320803821,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Ponca Creek at Verdel, Nebr.","ST",424840,981033,42.8111111,-98.1758333,"M","S","NAD83","NAD83","31","31","107","US","  NENES30 T30N  R7W   6",NA,NA,1232.92,"L",0.01,"NGVD29","10150001",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,812,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"862600100","Med"
"06461500",0.0449126814474121,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Niobrara River near Sparks, Nebr.","ST",425408,1002144,42.9022222,-100.3622222,"M","S","NAD83","NAD83","31","31","031","US","  NWSES22 T34N  R26W  6",NA,NA,2287.57,"M",5,"NGVD29","10150004",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,7150,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"862600100","Low"
"06463500",0.0777415381966574,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Long Pine Creek near Riverview, Nebr.","ST",424122,994044,42.68944444,-99.6788889,"M","S","NAD83","NAD83","31","31","017","US","  SENES05 T31N  R20W",NA,NA,1981.34,"L",0.01,"NGVD29","10150004",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,458,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"862600100","Low"
"06463720",0.0798787180691111,7.24383561643836,2012-05-21,2019-12-31,0.0492628550880978,"USGS","Niobrara River at Mariaville, Nebr.","ST",424650,992023,42.78055556,-99.3397222,"M","S","NAD83","NAD83","31","31","103","US",NA,NA,NA,1797,"M",1,"NGVD29","10150004",NA,"C","YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,9810,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06465500",0.120188971110832,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Niobrara River near Verdel, Nebr.","ST",424423,981322,42.7397222,-98.2227778,"M","S","NAD83","NAD83","31","31","107","US","  NWNWS23 T32N  R08W",NA,NA,1312.12,"L",0.01,"NGVD29","10150007",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,11580,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"862600100","Low"
"06465700",0.210030244645297,9.79178082191781,2010-01-01,2019-10-14,0,"USGS","Verdigre Creek near Verdigre, Nebr.","ST",423916,980236,42.65444444,-98.0433333,"G","S","NAD83","NAD83","31","31","107","US","  NENWS20 T31N  R06W",NA,NA,1290,"M",5,"NGVD29","10150007",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"CST","Y","C","NNYNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"06466400",0.21184787786963,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Bazile Creek at Center, Nebr.","ST",423659,975241,42.61638889,-97.8780556,"M","S","NAD83","NAD83","31","31","107","US","  NESES34 T31N  R5W   6","CENTER WEST","  24000",1380,"M",1,"NGVD29","10170101",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20021008,NA,NA,"CST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"862600100","Med"
"06466500",0.218919158240893,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Bazile Creek near Niobrara, Nebr.","ST",424356,975521,42.7322222,-97.9225,"M","S","NAD83","NAD83","31","31","107","US","  NWSES20 T32N  R5W   6",NA,NA,1243.32,"L",0.01,"NGVD29","10170101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,440,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"862600100","Med"
"06478522",0.180167929818578,4.4027397260274,2015-03-27,2019-12-31,0.0769672601952901,"USGS","Bow Creek near Wynot, Nebr.","ST",424555,971021.24,42.76527778,-97.1725667,"N","1","NAD83","NAD83","31","31","027","US","      S11 T32N  R02E  6","SAINT HELENA, NE","  24000",1165,"N",3,"NAVD88","10170101",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20150218,460,NA,"CST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"00332","Low"
"06486000",0.023731167418429,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Missouri River at Sioux City, IA","ST",422909,962449,42.4858276,-96.4139184,"M","F","NAD27","NAD83","19","31","043","US","NWSE  S16 T029N R09E  6","Sioux City South","  24000",1057.42,"L",0.01,"NAVD88","10230001",NA,"C","YNNNYNNNNNNNNYNNYNNNNNNNNNNNNN",NA,18780902,314600,NA,"CST","Y",NA,"YYNNNNNN",NA,NA,NA,NA,NA,NA,"461900100","Low"
