"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"03090500",0.162990530129876,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Mahoning River bl Berlin Dam nr Berlin Center OH","ST",410254,810005,41.0483912,-81.0012032,"M","S","NAD27","NAD83","39","39","099","US",NA,NA,NA,957.72,"R",0.01,"NAVD88","05030103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,248,248,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"443900100","Low"
"03091500",0.157746499508828,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Mahoning River at Pricetown OH","ST",410753,805817,41.1314461,-80.9712018,"M","S","NAD27","NAD83","39","39","099","US",NA,NA,NA,904.77,"Y",0.1,"NAVD88","05030103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,273,273,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"03092460",0.150850827016853,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","West Branch Mahoning River at Wayland OH","ST",410925,810419,41.15700127,-81.0717621,"M","S","NAD27","NAD83","39","39","133","US",NA,NA,NA,925.83,"R",0.01,"NAVD88","05030103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,81.7,81.7,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"03093000",0.566749953487715,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Eagle Creek at Phalanx Station OH","ST",411540,805716,41.26116735,-80.9542569,"M","S","NAD27","NAD83","39","39","155","US",NA,NA,NA,887.19,"Y",0.1,"NAVD88","05030103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,97.6,97.6,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03094000",0.236163748775961,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Mahoning River at Leavittsburg OH","ST",411421,805251,41.23922335,-80.880642,"M","S","NAD27","NAD83","39","39","155","US",NA,NA,NA,870.67,"Y",0.1,"NAVD88","05030103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,575,575,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03094704",0.857400020337309,6.58904109589041,2013-06-01,2019-12-31,0,"USGS","Mosquito Creek near Greene Center OH","ST",412859,804446,41.48305556,-80.7461111,"N","S","NAD83","NAD83","39","39","155","US",NA,"Gustavus","  24000",913.99,"D",0.1,"NAVD88","05030102",NA,"C","NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20130131,18.5,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"00100","High"
"03095500",0.18253965185477,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Mosquito Creek bl Mosquito Ck Dam nr Cortland OH","ST",411759,804531,41.29977898,-80.7584141,"M","S","NAD27","NAD83","39","39","155","US",NA,NA,NA,873.34,"R",0.01,"NAVD88","05030103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,97.5,97.5,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"03098600",0.258895830641207,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Mahoning River below West Ave at Youngstown OH","ST",410618,803946,41.10505807,-80.6625755,"M","S","NAD27","NAD83","39","39","099","US",NA,"YOUNGSTOWN",NA,823.51,"L",0.02,"NAVD88","05030103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19870922,978,978,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"443900100","Med"
"03099500",0.256601733888566,7.58904109589041,2012-06-01,2019-12-31,0,"USGS","Mahoning River at Lowellville OH","ST",410212,803211,41.03672598,-80.5361815,"M","S","NAD27","NAD83","39","39","099","US",NA,NA,NA,796.57,"Y",0.1,"NAVD88","05030103",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1073,1073,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03109500",0.355881033468155,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Little Beaver Creek near East Liverpool OH","ST",404033,803227,40.6758974,-80.5406244,"M","S","NAD27","NAD83","39","39","029","US",NA,NA,NA,702.38,"Y",0.1,"NAVD88","05030101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,496,496,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03110000",0.412409370107341,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Yellow Creek near Hammondsville OH","ST",403216,804331,40.53784235,-80.7250777,"M","S","NAD27","NAD83","39","39","081","US",NA,NA,NA,692.93,"Y",0.1,"NAVD88","05030101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,147,147,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03111500",0.343225612275853,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Short Creek near Dillonvale OH","ST",401136,804404,40.19340427,-80.7342482,"M","S","NAD27","NAD83","39","39","081","US",NA,NA,NA,673.54,"Y",0.1,"NAVD88","05030106",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,123,123,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03111548",0.344576636649113,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Wheeling Creek below Blaine OH","ST",400401,804831,40.0670164,-80.8084198,"M","S","NAD27","NAD83","39","39","013","US",NA,NA,NA,698.57,"D",0.1,"NAVD88","05030106",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,97.7,97.7,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"443900100","Med"
"03113990",0.554877360759866,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Captina Creek at S.R. 148 at Armstrongs Mills OH","ST",395424,805610,39.9067395,-80.9359288,"M","F","NAD27","NAD83","39","39","013","US",NA,"Armstrong Mills","   2400",756.09,"L",0.01,"NAVD88","05030106",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20030602,127,127,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"00100","High"
"03114306",0.184766716076915,6.25479452054795,2013-09-30,2019-12-31,0.000437828371278481,"USGS","OHIO RIVER ABOVE SARDIS, OH","ST",393749,805229,39.63027778,-80.8747222,"M","R","NAD83","NAD83","54","39","111","US",NA,"Paden City, OH","  24000",589.45,"X",0.11,"NAVD88","05030201",NA,NA,"NNNNYNNNNYNNNNYNNNNNNNNNNNNNNN",NA,20120720,26156,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low"
"03115400",0.653542912984871,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Little Muskingum River at Bloomfield OH","ST",393347,811214,39.5631294,-81.2037236,"M","S","NAD27","NAD83","39","39","167","US",NA,NA,NA,645.34,"L",0.1,"NAVD88","05030201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,210,210,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03115644",0.609581941333171,8.16986301369863,2011-11-01,2019-12-31,0.000335232986925948,"USGS","East Fork Duck Creek near Harrietsville OH","ST",393646.38,812219.11,39.6128833,-81.371975,"N","F","NAD83","NAD83","39","39","121","US",NA,"Dalzell","  24000",647.56,"D",0.01,"NAVD88","05030201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20110902,99.5,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"00100","High"
"03115712",0.605039367544323,8.17260273972603,2011-11-01,2019-12-31,0,"USGS","West Fork Duck Creek at Macksburg OH","ST",393753.78,812739,39.63160556,-81.4608333,"N","F","NAD83","NAD83","39","39","167","US",NA,"Macksburg","  24000",659.32,"D",0.01,"NAVD88","05030201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20110902,84.5,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"00100","High"
"03115786",0.570248137573288,8.17260273972603,2011-11-01,2019-12-31,0,"USGS","Duck Creek below Whipple OH","ST",393032,812523,39.50888889,-81.4230556,"N","F","NAD83","NAD83","39","39","167","US",NA,"LOWER SALEM","  24000",610.75,"D",0.01,"NAVD88","05030201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20110916,260,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"High"
"03116077",0.451495515118959,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","Chippewa Creek at Miller Rd at Sterling OH","ST",405759,815102,40.96638889,-81.8505556,"M","F","NAD83","NAD83","39","39","169","US",NA,NA,NA,954.94,"D",0.01,"NAVD88","05040001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20010719,50.4,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"443900100","Med"
"03117000",0.315725415005763,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Tuscarawas River at Massillon OH","ST",404613,813127,40.7703357,-81.5240098,"M","S","NAD27","NAD83","39","39","151","US",NA,"MASSILLON, OH","  24000",911.4,"Y",0.1,"NAVD88","05040001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,518,518,"EST","Y",NA,"YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03117500",0.287298256762262,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Sandy Creek at Waynesburg OH","ST",404021,811536,40.6725609,-81.2598308,"M","S","NAD27","NAD83","39","39","151","US",NA,NA,NA,953.48,"D",0.09,"NAVD88","05040001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,253,253,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03118000",0.382236740633723,10,2010-01-01,2019-12-31,0.000547645125958396,"USGS","Middle Branch Nimishillen Creek at Canton OH","ST",405029,812114,40.84144709,-81.3537229,"M","S","NAD27","NAD83","39","39","151","US",NA,NA,NA,1046.12,"D",0.1,"NAVD88","05040001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,43.1,43.1,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03118500",0.427959991138407,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Nimishillen Creek at North Industry OH","ST",404459,812210,40.7497222,-81.3694444,"M","S","NAD83","NAD83","39","39","151","US",NA,"Waynesburg",NA,980.05,"D",0.1,"NAVD88","05040001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,172,172,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
