"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"50011200",0.370834415153216,9.83835616438356,2010-01-01,2019-12-31,0.0167031763417306,"USGS","RIO GUAJATACA BLW LAGO GUAJATACA, PR","ST",182401,665540,18.39828094,-66.9273999,"N","S","NAD27","NAD83","72","72","115","US",NA,"QUEBRADILLAS","  20000",535,"M",16,"NGVD29","21010002"," 1","C","NNNNYNNNNYNNNNNNNNNNNNNNNNNNNN",NA,19851128,NA,NA,"AST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"PR454300100","Med"
"50014800",0.312930479026531,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","RIO CAMUY NR BAYANEY, PR","ST",182347.17,664904.75,18.39443982,-66.8176066,"N","S","NAD27","NAD83","72","72","065","US",NA,"CAMUY","  20000",358,"M",16,"NGVD29","21010002"," 2","C","YNNNYNNNNYNNNYNNNNNNNNNNNNNNNN",NA,19840523,NA,NA,"AST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"PR454300100","Med"
"50021700",0.549203113093791,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","RIO GRANDE DE ARECIBO ABV UTUADO, PR","ST",181439.11,664320.25,18.24220775,-66.7219104,"M","S","NAD27","NAD83","72","72","141","US",NA,"ADJUNTAS","  20000",525,"M",16,"NGVD29","21010002","03","C","YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19890213,36,NA,"AST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"PR454300100","High"
"50024950",0.470637270822966,9.26027397260274,2010-09-30,2019-12-31,0,"USGS","RIO GRANDE DE ARECIBO BLW UTUADO, PR","ST",181807.53,664214.75,18.3000995,-66.703716,"M","S","NAD27","NAD83","72","72","141","US",NA,"UTUADO","  20000",295.3,"M",16,"NGVD29","21010002","03","C","NNNNYNNNNYNNNNNNNNNNNNNNNNNNNN",NA,19960322,65.6,NA,"AST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"PR454300100","Med"
"50025155",0.428033833411942,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","RIO SALIENTE AT COABEY NR JAYUYA, PR","ST",181246.14,663347.47,18.2108288,-66.5628032,"N","S","NAD27","NAD83","72","72","073","US",NA,"JAYUYA","  20000",1700,"M",16,"NGVD29","21010002"," 3","C","NNNNYNNNNYNNNYNNNNNNNNNNNNNNNN",NA,19890707,9.25,NA,"AST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"PR454300100","Med"
"50026025",0.425096356597061,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","RIO CAONILLAS AT PASO PALMA, PR","ST",181353.1,663813.52,18.2294279,-66.6367066,"M","S","NAD27","NAD83","72","72","073","US",NA,"ADJUNTAS","  20000",964.61,"M",16,"NGVD29","21010002","04","C","YNNNYNNNNYNNNYNNNNNNNNNNNNNNNN",NA,19950913,37.98,NA,"AST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"PR454300100","Med"
"50027000",0.388868521334852,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","RIO LIMON ABV LAGO DOS BOCAS, PR","ST",181933.94,663715.7,18.32410113,-66.6206455,"M","S","NAD27","NAD83","72","72","141","US",NA,"UTUADO","  20000",328.1,"M",16,"NGVD29","21010002"," 3","C","NNNNYNNNNYNNNNNNNNNNNNNNNNNNNN",NA,19851128,33.2,NA,"AST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"PR454300100","Med"
"50027600",0.487746783929911,9.11780821917808,2010-01-01,2019-12-31,0.0887185104052574,"USGS","RIO GRANDE DE ARECIBO NR SAN PEDRO, PR","ST",182355.75,664129.61,18.3968229,-66.6911773,"M","S","NAD27","NAD83","72","72","013","US",NA,"ARECIBO","  20000",49.2,"M",16,"NGVD29","21010002"," 3","C","NNNNYNNNNYNNNNNNNNNNNNNNNNNNNN",NA,20010516,173.7,NA,"AST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"PR454300100","Med"
"50028000",0.356532604847029,9.95616438356164,2010-01-01,2019-12-31,0.00492880613362545,"USGS","RIO TANAMA NR UTUADO, PR","ST",181802.61,664658.85,18.29873289,-66.7826336,"M","S","NAD27","NAD83","72","72","141","US",NA,"UTUADO","  20000",948,"M",16,"NGVD29","21010002"," 3","C","NNNNYNNNNYNNNYNNNNNNNNNNNNNNNN",NA,19591201,18.4,NA,"AST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"PR454300100","Med"
"50029000",0.463786642298969,8.81369863013699,2010-01-01,2018-10-24,0.0006213109661386,"USGS","RIO GRANDE DE ARECIBO AT CENTRAL CAMBALACHE, PR","ST",182719.92,664208.83,18.4535347,-66.7020721,"M","S","NAD27","NAD83","72","72","013","US",NA,"ARECIBO","  20000",9.84,"M",16,"NGVD29","21010002","03","C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19630106,200,NA,"AST","N",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"PR454300100","Med"
