"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"01109403",0.195978749899731,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI","ST",414951,712103,41.83093377,-71.3503315,"M","U","NAD27","NAD83","25","44","007","US",NA,NA,NA,4.18,"M",5,"NAVD88","01090004",NA,NA,"YNNNYNNNNYNNNNNNNNNNNNNNNNNNNN",NA,198610,53.1,53.1,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"444400100","Low"
"01111300",0.364407781183752,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","NIPMUC RIVER NEAR HARRISVILLE, RI","ST",415852,714111,41.9812093,-71.68590049,"M","U","NAD27","NAD83","25","44","007","US",NA,NA,NA,339.22,"M",10,"NAVD88","01090003",NA,NA,"YNNYNNNNNYNNNNNNNNNNNNNNNNNNNN",NA,NA,16,16,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"444400100","Med"
"01111500",0.242108051888868,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BRANCH RIVER AT FORESTDALE, RI","ST",415947,713345,41.99648716,-71.56200758,"M","S","NAD27","NAD83","25","44","007","US",NA,NA,NA,179.22,"M",10,"NAVD88","01090003",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,91.2,91.2,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"444400150","Med"
"01112500",0.197580131029369,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","BLACKSTONE RIVER AT WOONSOCKET, RI","ST",420023,713011,42.0064871,-71.5025613,"M","S","NAD27","NAD83","25","44","007","US",NA,NA,NA,106.64,"L",0.01,"NAVD88","01090003",NA,NA,"YNYNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,416,416,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"444400150","Low"
"01113895",0.186452797334834,9.9972602739726,2010-01-01,2019-12-31,0.000821467688937538,"USGS","BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI","ST",415318,712255,41.8884331,-71.38144467,"M","S","NAD27","NAD83","25","44","007","US",NA,"ATTLEBORO","  24000",19.2,"M",5,"NAVD88","01090003",NA,NA,"YNYNNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,20030901,474,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,"2441APS00","Low"
"01114000",0.39340120870156,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","MOSHASSUCK RIVER AT PROVIDENCE, RI","ST",415002,712440,41.833989,-71.41061208,"M","U","NAD27","NAD83","25","44","007","US",NA,NA,NA,7.38,"U",0.01,"NAVD88","01090004",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,23.1,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01114500",0.172486150021862,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WOONASQUATUCKET RIVER AT CENTERDALE, RI","ST",415132,712916,41.8589884,-71.4872823,"M","S","NAD27","NAD83","25","44","007","US",NA,NA,NA,94.19,"L",0.01,"NAVD88","01090004",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,38.3,38.3,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"444400100","Low"
"01115098",0.440378881097099,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI","ST",415109,713624,41.8525992,-71.6061754,"M","S","NAD27","NAD83","25","44","007","US",NA,"NORTH SCITUATE","  24000",314.19,"M",5,"NAVD88","01090004",NA,NA,"YNYNNNNNNYNNNNNNNNNNNNNNNNNNNN",NA,19930723,4.96,4.96,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"4444031000","Med"
"01115110",0.520913799961564,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","HUNTINGHOUSE BK AT ELMDALE RD AT N SCITUATE, RI","ST",415044,713636,41.8456548,-71.6095088,"M","S","NAD27","NAD83","25","44","007","US",NA,"NORTH SCITUATE","  24000",309.19,"M",5,"NAVD88","01090004",NA,NA,"YNNYNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,19930719,6.23,6.23,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"4444-03100","High"
"01115114",0.593727140068603,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","RUSH BROOK NEAR ELMDALE RD NEAR NORTH SCITUATE, RI","ST",415015,713645,41.83759929,-71.6120089,"M","S","NAD27","NAD83","25","44","007","US",NA,"NORTH SCITUATE QUAD","  24000",297.19,"M",5,"NAVD88","01090004",NA,NA,"YNNYNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,19970702,4.7,4.7,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"442500150","High"
"01115120",0.729724494188549,4.84383561643836,2010-01-01,2014-11-03,0,"USGS","UNNAMED TRIB TO SCITUATE RES NR NORTH SCITUATE, RI","ST",414953,713634,41.8314882,-71.6089532,"M","S","NAD27","NAD83","25","44","007","US",NA,"NORTH SCITUATE","  24000",NA,NA,NA,NA,"01090004",NA,NA,"YNNYNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,19931122,0.28,0.28,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"4444-03100","High"
"01115170",0.188326795276934,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","MOSWANSICUT STREAM NR NORTH SCITUATE, RI","ST",415027,713506,41.84093269,-71.584508,"M","S","NAD27","NAD83","25","44","007","US",NA,"NORTH SCITUATE","  24000",300,"M",5,"NAVD88","01090004",NA,NA,"YNNYNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,19931122,3.25,3.25,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"4444-03100","Low"
"01115183",0.360552454789129,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","QUONAPAUG BK AT RT 116 NR NORTH SCITUATE, RI","ST",414751,713507,41.79759966,-71.5847857,"M","S","NAD27","NAD83","25","44","007","US",NA,"NORTH SCITUATE","  24000",359.19,"M",5,"NAVD88","01090004",NA,NA,"YNNYNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,19930726,1.96,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"4444-03100","Med"
"01115184",0.336986820383751,4.84383561643836,2010-01-01,2014-11-03,0,"USGS","SPRUCE BROOK NR NORTH SCITUATE, RI","ST",414719,713714,41.7887107,-71.6200647,"M","S","NAD27","NAD83","25","44","007","US",NA,"NORTH SCITUATE","  24000",NA,NA,NA,NA,"01090004",NA,NA,"YNNYNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,19930805,1.22,1.22,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"4444-03100","Med"
"01115187",0.393048496862959,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","PONAGANSET RIVER AT SOUTH FOSTER, RI","ST",414907,714220,41.8187102,-71.7050677,"M","S","NAD27","NAD83","25","44","007","US",NA,"CLAYVILLE","  24000",354.2,"M",5,"NAVD88","01090004",NA,NA,"YNYNNNNNNYNNNYNNNNNNNNNNNNNNNN",NA,19930723,14.4,14.4,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"4444031000","Med"
"01115190",0.402804869855501,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","DOLLY COLE BK AT OLD DANIELSON PK AT S FOSTER, RI","ST",414920,714203,41.8223213,-71.70034528,"M","S","NAD27","NAD83","25","44","007","US",NA,"CLAYVILLE","  24000",359.2,"M",5,"NAVD88","01090004",NA,NA,"YNNYNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,19930719,4.9,4.9,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"4444-03100","Med"
"01115265",0.426901819893137,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","HEMLOCK BROOK AT KING ROAD NR FOSTER, RI","ST",414726,714157,41.7906548,-71.6986785,"M","S","NAD27","NAD83","25","44","007","US",NA,"CLAYVILLE, RI","  24000",409.2,"M",5,"NAVD88","01090004",NA,NA,"YNNYNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,20101020,8.72,8.72,"EST","Y","U","NNNNNNNN",NA,NA,NA,NA,NA,NA,"9VU00","Med"
"01115275",0.258158848520246,4.78630136986301,2010-01-01,2014-10-13,0,"USGS","BEAR TREE BROOK NR CLAYVILLE, RI","ST",414657,714031,41.7825994,-71.67478879,"M","S","NAD27","NAD83","25","44","007","US",NA,"CLAYVILLE","  24000",NA,NA,NA,NA,"01090004",NA,NA,"YNNYNNNNNNNNNNNNYNNNNNNNNNNNNN",NA,19931122,0.62,0.62,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"4444-03100","Med"
