"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"05050000",0.0860418185468483,9.89315068493151,2010-01-01,2019-11-20,0,"USGS","BOIS DE SIOUX RIVER NEAR WHITE ROCK, SD","ST",455145,963425,45.86246018,-96.573958,"M","S","NAD27","NAD83","27","46","109","US","SWSW  S27 T128N R47W",NA,NA,NA,NA,NA,NA,"09020101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1160,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-00111","Low"
"05290000",0.185437161677077,9.8958904109589,2010-01-01,2019-12-01,0.00276090557702924,"USGS","LITTLE MINNESOTA RIVER NEAR PEEVER, SD","ST",453657,965232,45.6158333,-96.8755556,"M","S","NAD83","NAD83","27","46","109","US","NENENES14 T125N R50W",NA,NA,1016.73,"G",0.01,"NAVD88","07020001",NA,NA,"NNNNYNNNNNNNNNNNYNNNNNNNNNNNNN",NA,20080717,436,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-00111","Low"
"05291000",0.29967393648421,9.89315068493151,2010-01-01,2019-11-28,0.00221055540204473,"USGS","WHETSTONE RIVER NEAR BIG STONE CITY, SD","ST",451730,962914,45.2916316,-96.487557,"M","S","NAD27","NAD83","27","46","051","US","SENW  S18 T121N R46W",NA,NA,996.96,"L",0.01,"NGVD29","07020001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,398,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"MN-00111","Med"
"06334500",0.255636093166411,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","LITTLE MISSOURI R AT CAMP CROOK,SD","ST",453253.3,1035814.7,45.5481343,-103.9712386,"M","1","NAD27","NAD83","46","46","063","US","    SWS02 T18N  R01E  7","CAMP CROOK","  24000",3110.77,"L",0.01,"NAVD88","10110201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1974,1974,"MST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"06354881",0.408916260897857,3.1041095890411,2016-09-30,2019-11-06,0,"USGS","OAK CREEK NR RATTLESNAKE BUTTE NR WAKPALA, SD","ST",454342.34,1003546.59,45.72842778,-100.596275,"N","5","NAD83","NAD83","46","46","031","US","  SWNES06 T20N  R29E  B","WAKPALA, SD","  24000",1717,"N",1,"NAVD88","10130102",NA,"C","YNNNNNYNNNNNNYNNYNNNNNNNNNNNNN",NA,20160801,320.8,320.8,"MST","Y","C",NA,NA,NA,NA,NA,NA,NA,"00100","Med"
"06354882",0.458821821475474,6.75890410958904,2010-01-01,2016-10-02,0,"USGS","OAK CR NEAR WAKPALA,SD","ST",454243,1003332,45.7119422,-100.5593015,"M","M","NAD27","NAD83","46","46","031","US","SWSENWS09 T20N  R29E  7","WAKPALA","  24000",1690,"R",111,"NGVD29","10130106",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,355,355,"MST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"06355500",0.197448231785695,9.97534246575342,2010-01-01,2019-12-31,0.00301204819277112,"USGS","NORTH FORK GRAND R NEAR WHITE BUTTE,SD","ST",454808,1022143,45.80222,-102.3623795,"M","M","NAD27","NAD83","46","46","105","US","SWNWNWS11 T21N  R14E  7","HAYNES SE, SD","  24000",2298.97,"R",111,"NAVD88","10130301",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1200,1200,"MST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06356500",0.389525500500145,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SOUTH FORK GRAND R NEAR CASH,SD","ST",453855.3,1023834.4,45.6486883,-102.6433259,"M","M","NAD27","NAD83","46","46","105","US","SENESES33 T20N  R12E  7",NA,NA,2424.17,"R",111,"NAVD88","10130302",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1306,1306,"MST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"06357800",0.264381767028996,9.83287671232877,2010-01-01,2019-10-29,0,"USGS","GRAND R AT LITTLE EAGLE,SD","ST",453928,1004904,45.65777405,-100.8181933,"M","M","NAD27","NAD83","46","46","031","US","  NENES32 T20N  R27E  7","LITTLE EAGLE","  24000",1625.89,"L",0.01,"NAVD88","10130303",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,5316,5316,"MST","Y","C","YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"06359500",0.392733894758715,9.9972602739726,2010-01-01,2019-12-31,0.000821467688937538,"USGS","MOREAU R NEAR FAITH,SD","ST",451152,1020922,45.19775826,-102.1565472,"M","M","NAD27","NAD83","46","46","105","US","  NWNWS10 T14N  R16E  7","FAITH NW, SD","  24000",2240.1,"L",0.01,"NAVD88","10130306",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2592,2592,"MST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"06360500",0.313520340008579,9.86027397260274,2010-01-01,2019-11-09,0.000277777777777821,"USGS","MOREAU R NEAR WHITEHORSE,SD","ST",451521,1005033,45.2558171,-100.8429214,"M","M","NAD27","NAD83","46","46","041","US","  SWSES17 T15N  R27E  7","GLENCROSS SE","  24000",1662.82,"L",0.01,"NAVD88","10130306",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,4889,4872,"MST","Y","C","YNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"06395000",0.249542025708512,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CHEYENNE R AT EDGEMONT,SD","ST",431820,1034914,43.3055286,-103.8210312,"M","M","NAD27","NAD83","46","46","047","US","SWSESES36 T08S  R02E  7",NA,NA,3416.32,"L",0.01,"NAVD88","10120106",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,7171,7170,"MST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
