"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"03312259",0.496913339063843,8.79452054794521,2010-01-01,2018-10-15,0,"USGS","SALT LICK CREEK BELOW RED BOILING SPRINGS, TN","ST",363306.57,855125.66,36.55188026,-85.8571075,"G","H","NAD27","NAD83","47","47","111","US",NA,"RED BOILING SPRINGS","  24000",731.38,"Z",0.1,"NAVD88","05110002",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,14.5,NA,"CST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Med"
"03408500",0.586742015168205,9.98904109589041,2010-01-01,2019-12-31,0.00164293537787519,"USGS","NEW RIVER AT NEW RIVER, TN","ST",362307.58,843317.2,36.3855167,-84.5547174,"M","S","NAD27","NAD83","47","47","151","US",NA,NA,NA,1092.43,"L",0.1,"NGVD29","05130104",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,382,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03409500",0.56518894034354,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CLEAR FORK NEAR ROBBINS, TN","ST",362317.56,843748.89,36.38828757,-84.6301881,"M","U","NAD27","NAD83","47","47","151","US",NA,NA,NA,1081.01,"D",0.23,"NAVD88","05130104",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,272,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03410210",0.536874936674761,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SOUTH FK CUMBERLAND RIVER AT LEATHERWOOD FORD, TN","ST",362838.3,844009.94,36.47738108,-84.6693676,"M","U","NAD27","NAD83","47","47","151","US",NA,NA,NA,862.1,"D",0.25,"NAVD88","05130104",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,806,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03414500",0.495606660547328,8.00547945205479,2011-10-01,2019-09-30,0,"USGS","EAST FORK OBEY RIVER NEAR JAMESTOWN, TN","ST",362458,850135,36.41617895,-85.02634019,"M","U","NAD27","NAD83","47","47","049","US",NA,NA,NA,679.54,"D",0.16,"NAVD88","05130105",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,202,196,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03415000",0.577372052624001,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WEST FORK OBEY RIVER NEAR ALPINE, TN","ST",362350.36,851028.16,36.3973873,-85.1744486,"M","U","NAD27","NAD83","47","47","133","US",NA,NA,NA,680.66,"D",0.78,"NAVD88","05130105",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,115,81,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"03416000",0.46783682787044,7.25753424657534,2012-09-30,2019-12-31,0,"USGS","WOLF RIVER NEAR BYRDSTOWN, TN","ST",363337,850423,36.5603447,-85.0730073,"M","U","NAD27","NAD83","47","47","137","US",NA,NA,NA,707.54,"U",0.1,"NGVD29","05130105",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,106,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03419800",0.389323709640768,7.45479452054794,2010-01-01,2017-06-13,0,"USGS","CALFKILLER RIVER AT HWY 111 BELOW SPARTA, TN","ST",355443.46,852834.86,35.91213759,-85.4763257,"G","S","NAD27","NAD83","47","47","185","US",NA,"SPARTA"," 240000",820.66,"L",0.01,"NGVD29","05130108",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,175,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03421000",0.397438483367004,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","COLLINS RIVER NEAR MCMINNVILLE, TN","ST",354229.57,854354.67,35.7082839,-85.7318338,"M","U","NAD27","NAD83","47","47","177","US",NA,NA,NA,825.78,"U",0.1,"NGVD29","05130107",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,640,NA,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"03423000",0.525034368460756,3.6027397260274,2016-05-26,2019-12-31,0,"USGS","FALLING WATER RIVER NEAR COOKEVILLE, TN","ST",360438,853117,36.0772849,-85.5213658,"M","U","NAD27","NAD83","47","47","185","US",NA,NA,NA,893.49,"U",0.1,"NGVD29","05130108",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,67,45.9,"CST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
