"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"01613900",0.538266798720097,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","HOGUE CREEK NEAR HAYFIELD, VA","ST",391252,781718,39.2145479,-78.2880592,"M","U","NAD27","NAD83","51","51","069","US",NA,"HAYFIELD","  24000",668.6,"U",0.01,"NGVD29","02070004",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,15.9,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"01615000",0.580989130184367,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","OPEQUON CREEK NEAR BERRYVILLE, VA","ST",391029,780442,39.1747222,-78.0783333,"G","S","NAD83","NAD83","51","51","069","US",NA,"STEPHENSON","  24000",502.61,"D",0.01,"NAVD88","02070004",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,58.2,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"High"
"01616100",0.19440423062812,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","DRY MARSH RUN NEAR BERRYVILLE, VA","ST",391133.33,780407.07,39.19259167,-78.0686306,"G","S","NAD83","NAD83","51","51","043","US",NA,"STEPHENSON","  24000",500.64,"D",0.01,"NAVD88","02070004",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,11,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"01620500",0.397259247201379,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","NORTH RIVER NEAR STOKESVILLE, VA","ST",382006,791421,38.335,-79.2391667,"M","S","NAD83","NAD83","51","51","015","US",NA,"STOKESVILLE","  24000",2050.67,"D",0.01,"NAVD88","02070005",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,17.3,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01621050",0.373793953790151,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","MUDDY CREEK AT MOUNT CLINTON, VA","ST",382912,785738,38.48679008,-78.96030749,"M","U","NAD27","NAD83","51","51","165","US",NA,"BRIDGEWATER","  24000",1360.21,"D",0.01,"NAVD88","02070005",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,14.3,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01622000",0.249180182781834,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","NORTH RIVER NEAR BURKETOWN, VA","ST",382025,785450,38.3404051,-78.9136385,"M","U","NAD27","NAD83","51","51","165","US",NA,"MT SIDNEY","  24000",1103.49,"L",0.01,"NGVD29","02070005",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,376,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01625000",0.28265257626871,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","MIDDLE RIVER NEAR GROTTOES, VA","ST",381542,785144,38.26179616,-78.8619703,"M","U","NAD27","NAD83","51","51","015","US",NA,"GROTTOES","  24000",1061.51,"L",0.01,"NGVD29","02070005",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,373,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01626000",0.25644372303923,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SOUTH RIVER NEAR WAYNESBORO, VA","ST",380327,785430,38.0576362,-78.90807949,"M","U","NAD27","NAD83","51","51","820","US",NA,"WAYNESBORO WEST","  24000",1296.2,"L",0.01,"NGVD29","02070005",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,127,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01626850",0.257186050945609,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SOUTH RIVER NEAR DOOMS, VA","ST",380519,785238,38.08874648,-78.8769683,"M","U","NAD27","NAD83","51","51","820","US",NA,"WAYNESBORO WEST","  24000",1247.04,"L",0.01,"NGVD29","02070005",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,148,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01627500",0.266758104320977,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SOUTH RIVER AT HARRISTON, VA","ST",381307,785013,38.21874208,-78.8366915,"M","U","NAD27","NAD83","51","51","015","US",NA,"CRIMORA","  24000",1129.87,"L",0.01,"NGVD29","02070005",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,212,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
