"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"01133000",0.314259330983513,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","EAST BRANCH PASSUMPSIC RIVER NEAR EAST HAVEN, VT","ST",443802,715353,44.63394195,-71.8975942,"M","S","NAD27","NAD83","33","50","005","US",NA,"WEST BURKE,VT","  24000",943.88,"L",0.01,"NGVD29","01080102",NA,"C","YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,53.8,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01134500",0.373810883557459,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","MOOSE RIVER AT VICTORY, VT","ST",443042,715016,44.5117231,-71.8373143,"M","S","NAD27","NAD83","33","50","009","US",NA,"GALLUP MILLS, VT","  24000",1103.99,"L",0.01,"NGVD29","01080102",NA,"C","YNNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,75.2,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01135150",0.332071497627207,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","POPE BROOK (SITE W-3) NEAR NORTH DANVILLE, VT","ST",442834,720730,44.47616707,-72.1245431,"M","S","NAD27","NAD83","33","50","005","US",NA,"SAINT JOHNSBURY, VT","  25000",1141.2,"L",0.01,"NGVD29","01080102",NA,"C","YYNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,19911220,3.25,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01135300",0.420960262719514,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT","ST",442607,720220,44.4353353,-72.03842899,"M","S","NAD27","NAD83","33","50","005","US",NA,"SAINT JOHNSBURY, VT","  25000",641.68,"L",0.01,"NGVD29","01080102",NA,"C","YYNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,19911220,42.9,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01135500",0.28708468210013,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","PASSUMPSIC RIVER AT PASSUMPSIC, VT","ST",442156,720223,44.3656147,-72.0392613,"M","S","NAD27","NAD83","33","50","005","US",NA,"BARNET, VT-NH","  25000",500,"M",20,"NGVD29","01080102",NA,"C","YNNNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,436,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01138500",0.189299524900115,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CONNECTICUT RIVER AT WELLS RIVER, VT","ST",440912,720232,44.15339689,-72.0417577,"M","S","NAD27","NAD83","33","50","017","US",NA,"WOODSVILLE, VT-NH","  24000",399.75,"L",0.01,"NGVD29","01080101",NA,"C","YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,2644,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"01139000",0.288931861879235,9.96164383561644,2010-01-01,2019-12-18,0.000824402308326477,"USGS","WELLS RIVER AT WELLS RIVER, VT","ST",440901,720356,44.1503413,-72.0650915,"M","S","NAD27","NAD83","33","50","017","US",NA,"WOODSVILLE, VT-NH","  24000",505.53,"L",0.01,"NGVD29","01080103",NA,"C","YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,98.4,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"25","Med"
"01139800",0.267839956921893,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","EAST ORANGE BRANCH AT EAST ORANGE, VT","ST",440534,722010,44.0928419,-72.33565327,"M","S","NAD27","NAD83","33","50","017","US",NA,"WEST TOPSHAM, VT","  24000",1180,"M",20,"NGVD29","01080103",NA,"C","YNNNYNNNNNYNNYNNNNNNNNNNNNNNNN",NA,NA,8.95,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01142500",0.266735713678083,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","AYERS BROOK AT RANDOLPH, VT","ST",435604,723930,43.93450969,-72.6578821,"M","S","NAD27","NAD83","33","50","017","US",NA,"RANDOLPH, VT","  24000",630.5,"L",0.01,"NGVD29","01080105",NA,"C","YNNNYNYNNYNNNYNNNNNNNNNNNNNNNN",NA,NA,30.5,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01144000",0.28206487120339,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WHITE RIVER AT WEST HARTFORD, VT","ST",434251,722507,43.71423614,-72.418149,"M","S","NAD27","NAD83","33","50","027","US",NA,"QUECHEE, VT","  24000",374.53,"L",0.01,"NGVD29","01080105",NA,"C","YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,690,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
