"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"01595300",0.354971934640702,7.25479452054795,2012-10-01,2019-12-31,0,"USGS","ABRAM CREEK AT OAKMONT, WV","ST",392200,791045,39.36676569,-79.17892449,"M","U","NAD27","NAD83","54","54","057","US",NA,NA,NA,1840,"M",10,"NAVD88","02070002",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,42.6,42.6,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01595800",0.18387106891062,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","NORTH BRANCH POTOMAC RIVER AT BARNUM, WV","ST",392642.4,790638.9,39.4451111,-79.1108056,"M","S","NAD83","NAD83","24","54","057","US",NA,"WESTERNPORT","  24000",1151.28,"N",0.1,"NAVD88","02070002",NA,NA,"YYYNYNYNNNYNNNNNNNNNNNNNNNNNNN",NA,NA,266,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"01604500",0.289824467902425,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","PATTERSON CREEK NEAR HEADSVILLE, WV","ST",392635,784920,39.44314946,-78.8219649,"M","U","NAD27","NAD83","54","54","057","US",NA,NA,NA,624.79,"G",0.2,"NAVD88","02070002",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,221,221,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01605500",0.310477152781756,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV","ST",383808,792017,38.63567247,-79.3378199,"M","U","NAD27","NAD83","54","54","071","US",NA,NA,NA,1692.1,"L",0.1,"NAVD88","02070001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,179,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01606000",0.355269327703375,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","N F SOUTH BRANCH POTOMAC RIVER AT CABINS, WV","ST",385904,791402,38.9845546,-79.2336508,"M","S","NAD27","NAD83","54","54","023","US",NA,NA,NA,1045.42,"U",20,"NAVD88","02070001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,310,310,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01606500",0.316470399068941,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SOUTH BRANCH POTOMAC RIVER NEAR PETERSBURG, WV","ST",385928,791034,38.99122107,-79.17587059,"M","U","NAD27","NAD83","54","54","023","US",NA,NA,NA,965.88,"X",0.1,"NAVD88","02070001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,651,651,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01607500",0.421720859407029,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","S F SOUTH BRANCH POTOMAC RIVER AT BRANDYWINE, WV","ST",383753,791438,38.63150665,-79.2436497,"M","U","NAD27","NAD83","54","54","071","US",NA,NA,NA,1557.96,"L",0.1,"NAVD88","02070001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,103,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01608000",0.397645857228402,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","S F SOUTH BRANCH POTOMAC RIVER NR MOOREFIELD, WV","ST",390044,785723,39.0123313,-78.9561387,"M","U","NAD27","NAD83","54","54","031","US",NA,NA,NA,861.23,"G",10,"NAVD88","02070001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,277,277,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01608500",0.307714137950403,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV","ST",392649,783916,39.44703879,-78.6541817,"M","U","NAD27","NAD83","54","54","027","US",NA,NA,NA,561.41,"L",0.1,"NAVD88","02070001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1461,1461,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"01610400",0.339681345151692,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WAITES RUN NEAR WARDENSVILLE, WV","ST",390233.8,783554,39.0427222,-78.5983333,"G","S","NAD83","NAD83","54","54","031","US",NA,"Wardensville","  24000",1240,"M",10,"NAVD88","02070003",NA,NA,"NNNNYNNYNYNNNYNNNNNNNNNNNNNNNN",NA,NA,12.6,NA,"EST","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Med"
