"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"06036805",0.0565023883473102,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Firehole River at Old Faithful, YNP","ST",442733.6,1104920.18,44.4593333,-110.8222722,"N","1","NAD83","NAD83","30","56","029","US",NA,"OLD FAITHFUL","  24000",7352,"N",5,"NAVD88","10020007",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,39.4,NA,"MST","Y",NA," Y",NA,NA,NA,NA,NA,NA,"1","Low"
"06036905",0.0415683354893245,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Firehole River near West Yellowstone MT","ST",443712.66,1105148.61,44.6201833,-110.8635028,"N","1","NAD83","NAD83","30","56","029","US",NA,"LOWER GEYSER BASIN",NA,7050,"M",10,"NAVD88","10020007",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,261,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06036940",0.0940057402740667,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Tantalus Creek at Norris Junction, YNP","ST",444357.81,1104247.71,44.732725,-110.7132528,"N","1","NAD83","NAD83","30","56","029","US",NA,"NORRIS JUNCTION",NA,7460,"M",5,"NAVD88","10020007",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1.05,NA,"MST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"06037100",0.0538955563172803,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","Gibbon River at Madison Jct, YNP","ST",443826.88,1105139.83,44.6408,-110.8610639,"N","1","NAD83","NAD83","30","56","039","US",NA,"MADISON JUNCTION, WY","  24000",6800,"N",10,"NAVD88","10020007",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,125,NA,"MST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"06186500",0.0208197871791327,9.91232876712329,2010-01-01,2019-11-27,0,"USGS","Yellowstone River at Yellowstone Lk Outlet YNP","ST",443401.53,1102249.46,44.56709167,-110.3804056,"N","1","NAD83","NAD83","30","56","039","US",NA,"LAKE, WY",NA,7727.77,"L",0.01,"NGVD29","10070001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,995,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06188000",0.123163529346088,9.91780821917808,2010-01-01,2019-11-29,0,"USGS","Lamar River nr Tower Ranger Station YNP","ST",445541.44,1102339.37,44.92817778,-110.3942694,"N","1","NAD83","NAD83","30","56","029","US",NA,"TOWER JUNCTION WY-MT",NA,6000,"M",1,"NAVD88","10070001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,668,NA,"MST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"06218500",0.0796829885945013,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WIND RIVER NEAR DUBOIS, WY","ST",433443,1094533,43.57856415,-109.7598835,"M","S","NAD27","NAD83","56","56","013","US","  NWNES25 T42N  R108W 6","WARM SPRING MOUNTAIN","  24000",7188.71,"M",0.1,"NGVD29","10080001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19450101,232,NA,"MST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"465600100","Low"
"06221400",0.114745167014879,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","DINWOODY CREEK ABOVE LAKES, NEAR BURRIS, WY","ST",432046.2,1092431.6,43.34616667,-109.4087778,"M","S","NAD83","NAD83","56","56","013","US","  SESES01 T04N  R06W  W","HAYS PARK","  24000",6500,"M",20,"NGVD29","10080001",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19571001,88.2,NA,"MST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"465600100","Low"
"06224000",0.108075987394829,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","BULL LAKE CREEK ABOVE BULL LAKE, WY","ST",431035.8,1091209.2,43.1766111,-109.2025556,"G","5","NAD83","NAD83","56","56","013","US","  NESWS02 T02N  R04W  W","BULL LAKE WEST","  24000",5874,"M",10,"NGVD29","10080001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19410601,187,NA,"MST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"465600100","Low"
"06225000",0.0888327416055436,7.75342465753425,2010-01-01,2017-09-30,0,"USGS","BULL LAKE CREEK NEAR LENORE, WY","ST",431433,1090120,43.24245665,-109.0229052,"M","S","NAD27","NAD83","56","56","013","US","NENENWS17 T03N  R02W  W","BULL LAKE EAST","  24000",5654,"M",10,"NGVD29","10080001",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19180501,213,201,"MST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,"465600100","Low"
"06225500",0.0786874298095113,7.75342465753425,2010-01-01,2017-09-30,0,"USGS","WIND RIVER NEAR CROWHEART, WY","ST",431433,1090038,43.2425,-109.0105556,"G","S","NAD83","NAD83","56","56","013","US","NWNWNWS16 T03N  R02W  W","BULL LAKE EAST","  24000",5635,"M",10,"NGVD29","10080001",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19451001,1891,NA,"MST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,"465600100","Low"
"06227600",0.112753675855751,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WIND RIVER NEAR KINNEAR, WY","ST",430834,1084232,43.14277778,-108.7088889,"G","S","NAD83","NAD83","56","56","013","US","SESESWS13 T02N  R01E  W","PAVILLION","  24000",5294.7,"D",0.5,"NAVD88","10080001",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19740401,2194,NA,"MST","Y",NA,"NNNNNYNN",NA,NA,NA,NA,NA,NA,"465600100","Low"
"06228000",0.12177222525879,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","WIND RIVER AT RIVERTON, WY","ST",430038,1082234,43.01051478,-108.3767701,"M","S","NAD27","NAD83","56","56","013","US","NENWNWS02 T01S  R04E  W","RIVERTON WEST","  24000",4901.56,"L",0.02,"NGVD29","10080001",NA,"C","YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19060514,2309,NA,"MST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"465600100","Low"
"06228350",0.121450547720752,5.33424657534247,2014-09-02,2019-12-31,0,"USGS","SF L WIND RIV AB WASHAKIE RES, NR FT WASHAKIE, WY","ST",425806,1090213,42.96828927,-109.037628,"M","S","NAD27","NAD83","56","56","013","US","SESWSES18 T01S  R02W  W","MOCCASIN LAKE","  24000",6440,"M",20,"NGVD29","10080002",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19761001,90.3,NA,"MST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,"465600100","Low"
